Season	Competition	Round	Club	Home	Away
1986	UEFA Intertoto Cup	Group 9	Lech Poznan	0–0	1–4
1986	UEFA Intertoto Cup	Group 9	Linzer ASK	0–0	1–1
1986	UEFA Intertoto Cup	Group 9	Odense BK	0–2	4–5
1989	UEFA Intertoto Cup	Group 7	Örebro SK	1–3	2–1
1989	UEFA Intertoto Cup	Group 7	Slavia Praha	2–1	1–4
1989	UEFA Intertoto Cup	Group 7	FC Wettingen	0–3	1–3
1990	UEFA Intertoto Cup	Group 3	Lech Poznan	0–2	1–3
1990	UEFA Intertoto Cup	Group 3	Maccabi Haifa FC	0–0	0–3
1990	UEFA Intertoto Cup	Group 3	Bnei Yehuda FC	3–1	1–0
1991	UEFA Intertoto Cup	Group 6	Grasshopper FC	1–1	0–1
1991	UEFA Intertoto Cup	Group 6	BK Frem	3–3	1–4
1991	UEFA Intertoto Cup	Group 6	NK Olimpija Ljubljana	x-x	x-x
1992	UEFA Intertoto Cup	Group 2	Sparta Praha	1–1	1–2
1992	UEFA Intertoto Cup	Group 2	SK Vorwärts Steyr	2–2	1–3
1992	UEFA Intertoto Cup	Group 2	FC Lausanne-Sport	1–0	1–0
