Season	Premier	Runner Up	Score	Venue	Attendance	Premiership
1984	Essendon	Sydney Swans	13.11 (89) – 5.8 (38)	Waverley Park	30824	Night series
1984	Essendon	Hawthorn	14.21 (105) – 12.9 (81)	MCG	92685	VFL Grand Final
1986	Hawthorn	Carlton	9.12 (66) – 5.6 (36)	Waverley Park	19627	Night series
1986	Hawthorn	Carlton	16.14 (110) – 9.14 (68)	MCG	101861	VFL Grand Final
1988	Hawthorn	Geelong	10.10 (70) – 9.13 (67)	Waverley Park	35803	Pre-Season Cup
1988	Hawthorn	Melbourne	22.20 (152) – 6.20 (56)	MCG	93754	VFL Grand Final
1993	Essendon	Richmond	14.18 (102) – 11.13 (79)	Waverley Park	75533	Pre-Season Cup
1993	Essendon	Carlton Carlton	20.13 (133) – 13.11 (89)	MCG	96862	AFL Grand Final
2000	Essendon	North Melbourne	16.21 (117) – 11.10 (76)	MCG	56720	Pre-Season Cup
2000	Essendon	Melbourne	19.21 (135) – 11.9 (75)	MCG	96249	AFL Grand Final
2009	Geelong	Collingwood	0.18.19 (127) – 1.6.6 (51)	Etihad Stadium	37277	Pre-Season Cup
