Pick	Player	Nationality	New WNBA Team	Former WNBA Team	College/Country/Team
1	Jia Perkins (G)	United States	Chicago Sky	Charlotte Sting	Texas Tech
2	Brooke Wyckoff (F)	United States	Chicago Sky	Connecticut Sun	Florida State
3	Elaine Powell (G)	United States	Chicago Sky	Detroit Shock	LSU
4	Kiesha Brown (G)	United States	Chicago Sky	Houston Comets	Georgia
5	Deanna Jackson (F)	United States	Chicago Sky	Indiana Fever	Alabama-Birmingham
6	Laura Macchi (F)	Italy	Chicago Sky	Los Angeles Sparks	Italy
7	Stacey Lovelace-Tolbert (F)	United States	Chicago Sky	Minnesota Lynx	Purdue
8	DeTrina White (F)	United States	Chicago Sky	New York Liberty	LSU
9	Ashley Robinson (C)	United States	Chicago Sky	Phoenix Mercury	Tennessee
10	Chelsea Newton (G)	United States	Chicago Sky	Sacramento Monarchs	Rutgers
11	Bernadette Ngoyisa (C)	Republic of the Congo	Chicago Sky	San Antonio Silver Stars	Congo
12	Francesca Zara (G)	Italy	Chicago Sky	Seattle Storm	Italy
13	Stacey Dales-Schuman (G)	Canada	Chicago Sky	Washington Mystics	Oklahoma
