Week	Date	Opponent	Result	Record	Attendance
1	August 31, 1997	Jacksonville Jaguars	L 28–27	0–1–0	61,018
2	September 7, 1997	Cincinnati Bengals	W 23–10	1–1–0	52,968
3	September 14, 1997	at New York Giants	W 24–23	2–1–0	69,768
4	September 21, 1997	at Tennessee Oilers	W 36–10	3–1–0	17,737
5	September 28, 1997	at San Diego Chargers	L 21–17	3–2–0	54,094
6	October 5, 1997	Pittsburgh Steelers	L 42–34	3–3–0	64,421
7	Bye	Bye	Bye	Bye	Bye
8	October 19, 1997	Miami Dolphins	L 24–13	3–4–0	64,354
9	October 26, 1997	at Washington Redskins	W 20–17	4–4–0	75,067
10	November 2, 1997	at New York Jets	L 19–16 (OT)	4–5–0	59,524
11	November 9, 1997	at Pittsburgh Steelers	L 37–0	4–6–0	56,669
12	November 16, 1997	Philadelphia Eagles	T 10–10 (OT)	4–6–1	63,546
13	November 23, 1997	Arizona Cardinals	L 16–13	4–7–1	53,976
14	November 30, 1997	at Jacksonville Jaguars	L 29–27	4–8–1	63,712
15	December 7, 1997	Seattle Seahawks	W 31–24	5–8–1	54,395
16	December 14, 1997	Tennessee Oilers	W 21–19	6–8–1	60,558
17	December 21, 1997	at Cincinnati Bengals	L 16–14	6–9–1	50,917
