Date	Visitor	Score	Home	Record
October 19	Chicago Black Hawks	6–3	New York Rangers	1–0–0
October 22	Chicago Black Hawks	7–4	Detroit Red Wings	2–0–0
October 23	Detroit Red Wings	1–4	Chicago Black Hawks	3–0-0
October 26	Chicago Black Hawks	5–3	Montreal Canadiens	4–0–0
November 1	Boston Bruins	3–2	Chicago Black Hawks	4–1–0
November 6	Chicago Black Hawks	4–2	Boston Bruins	5–1–0
November 8	New York Rangers	1–3	Chicago Black Hawks	6–1–0
November 10	Chicago Black Hawks	0–3	Detroit Red Wings	6–2–0
November 13	Toronto Maple Leafs	1–6	Chicago Black Hawks	7–2–0
November 16	Chicago Black Hawks	2–2	New York Rangers	7–2–1
November 19	Detroit Red Wings	2–7	Chicago Black Hawks	8–2–1
November 20	Toronto Maple Leafs	2–2	Chicago Black Hawks	8–2–2
November 23	Chicago Black Hawks	3–6	Toronto Maple Leafs	8–3–2
November 24	Montreal Canadiens	0–5	Chicago Black Hawks	9–3–2
November 26	Chicago Black Hawks	1–4	New York Rangers	9–4–2
November 27	Chicago Black Hawks	5–4	Boston Bruins	10–4–2
November 30	New York Rangers	5–0	Chicago Black Hawks	10-5–2
December 3	Chicago Black Hawks	1-3	Montreal Canadiens	10–6–2
December 4	Detroit Red Wings	1–4	Chicago Black Hawks	11–6–2
December 8	Chicago Black Hawks	10–2	Boston Bruins	12–6–2
December 10	Chicago Black Hawks	3–5	Toronto Maple Leafs	12–7–2
December 11	Boston Bruins	2–2	Chicago Black Hawks	12–7–3
December 14	Montreal Canadiens	1-2	Chicago Black Hawks	13–7–3
December 17	Chicago Black Hawks	4–4	Montreal Canadiens	13–7–4
December 18	Toronto Maple Leafs	1–3	Chicago Black Hawks	14–7–4
December 21	Detroit Red Wings	4-6	Chicago Black Hawks	15–7–4
December 25	New York Rangers	1–0	Chicago Black Hawks	15–8–4
December 27	Chicago Black Hawks	3-2	New York Rangers	16–8–4
December 31	Chicago Black Hawks	5–1	Toronto Maple Leafs	17–8–4
January 1	Boston Bruins	2–3	Chicago Black Hawks	18–8–4
January 4	Montreal Canadiens	2–2	Chicago Black Hawks	18–8–5
January 5	Chicago Black Hawks	4–6	Detroit Red Wings	18–9–5
January 8	Boston Bruins	3–1	Chicago Black Hawks	18–10–5
January 11	Detroit Red Wings	1–6	Chicago Black Hawks	19–10–5
January 12	Chicago Black Hawks	1–4	Detroit Red Wings	19–11–5
January 14	New York Rangers	3-5	Chicago Black Hawks	20–11–5
January 15	Toronto Maple Leafs	0–4	Chicago Black Hawks	21–11–5
January 19	Chicago Black Hawks	4–2	Boston Bruins	22–11–5
January 21	Chicago Black Hawks	3–3	Montreal Canadiens	22–11–6
January 22	Montreal Canadiens	1–4	Chicago Black Hawks	23–11–6
January 26	Chicago Black Hawks	4–3	Detroit Red Wings	24–11–6
January 28	Chicago Black Hawks	5–2	Toronto Maple Leafs	25-11–6
January 29	Toronto Maple Leafs	1–5	Chicago Black Hawks	26–11–6
February 1	Boston Bruins	1–6	Chicago Black Hawks	27-11–6
February 4	Chicago Black Hawks	3–3	Montreal Canadiens	27–11–7
February 5	Chicago Black Hawks	5–0	Boston Bruins	28–11–7
February 8	Montreal Canadiens	0–5	Chicago Black Hawks	29–11–7
February 11	Chicago Black Hawks	4–4	Toronto Maple Leafs	29–11–8
February 12	Detroit Red Wings	2–3	Chicago Black Hawks	30–11–8
February 16	Chicago Black Hawks	5–1	Detroit Red Wings	31–11–8
February 18	Chicago Black Hawks	1–4	New York Rangers	31–12–8
February 19	New York Rangers	3–2	Chicago Black Hawks	31–13–8
February 25	Boston Bruins	3–6	Chicago Black Hawks	32–13–8
February 26	Montreal Canadiens	2–2	Chicago Black Hawks	32–13–9
March 1	New York Rangers	1–6	Chicago Black Hawks	33–13–9
March 2	Chicago Black Hawks	5–2	Boston Bruins	34–13–9
March 4	Chicago Black Hawks	0–3	Toronto Maple Leafs	34–14–9
March 5	Toronto Maple Leafs	2–5	Chicago Black Hawks	35–14–9
March 8	Boston Bruins	1–3	Chicago Black Hawks	36–14–9
March 11	Chicago Black Hawks	3–3	Montreal Canadiens	36–14–10
March 12	Toronto Maple Leafs	0–5	Chicago Black Hawks	37–14–10
March 15	Chicago Black Hawks	3–1	New York Rangers	38–14–10
March 18	Chicago Black Hawks	5–9	Toronto Maple Leafs	38–15–10
March 19	Montreal Canadiens	4–4	Chicago Black Hawks	38–15–11
March 22	New York Rangers	3-3	Chicago Black Hawks	38–15–12
March 26	Chicago Black Hawks	2–4	Detroit Red Wings	38–16–12
March 28	Detroit Red Wings	2–7	Chicago Black Hawks	39–16–12
March 30	Chicago Black Hawks	3–1	Boston Bruins	40–16–12
April 1	Chicago Black Hawks	4–5	Montreal Canadiens	40–17–12
April 2	Chicago Black Hawks	8–0	New York Rangers	41–17–12
