Nat.	Name	Since	App(L/C/E)	Goals(L/C/E)	Ends	Transfer fee
GRE	Kafes ( VC2 )	2007 (Winter)	78 (59/7/12)	8 (7/1/0)	2009	Free
POR	Geraldo	2007	50 (38/5/7)	1 (0/0/1)	2010	€350K
SWE	Majstorović ( VC3 )	2008	43 (34/7/2)	3 (2/1/0)	2011	Free
GRE	Alexopoulos	2005	55 (47/5/3)	3 (3/0/0)	2010	Free
ESP	Juanfran	2008	27 (21/4/2)	0 (0/0/0)	2010	€200K
CAN MWI	Nsaliwa	2007	60 (45/5/10)	2 (1/0/1)	2010	€450K
POR	Edinho	2008 (Winter)	51 (44/6/1)	13 (13/0/0)	2011	€500K
ALG FRA	Djebbour	2008	33 (28/5/0)	10 (8/2/0)	2011	€3.1M
BRA	Manduca	2006	83 (64/5/14)	9 (9/0/0)	2010	€750K
FRA	N'Siabamfumu	2009 (Winter)	2 (2/0/0)	0 (0/0/0)	2009	Free
GRE	Koutromanos	2005	17 (15/2/0)	0 (0/0/0)	2011	€50K
GRE	Pliatsikas	2005	49 (40/8/1)	0 (0/0/0)	2010	€70K
GRE FRA	Rikka	2008	5 (3/0/2)	0 (0/0/0)	2013	€575K
ARG	Blanco	2007	87 (70/8/9)	44 (37/5/2)	2011	€1.3M
GRE	Lagos	2006	49 (39/3/7)	1 (1/0/0)	2010	€900K
AUS	Burns	2008	5 (5/0/0)	0 (0/0/0)	2012	€450K
ARG	Saja	2008	42 (35/5/2)	0 (0/0/0)	2012	Free
ARG	Pelletieri	2008	32 (27/5/0)	0 (0/0/0)	2009	€700K
GRE	Kyrgiakos ( captain )	2008	26 (20/5/1)	0 (0/0/0)	2013	Free
GRE	Georgeas ( VC1 )	2001 (Winter)	194 (133/36/25)	0 (0/0/0)	2010	€925K
ARG	Scocco	2008	41 (32/7/2)	10 (7/3/0)	2011	€1.5M
GRE	Tachtsidis	2007	15 (10/5/0)	1 (1/0/0)	2010	Youth system
FIN SRB	Hetemaj	2006	28 (19/4/5)	0 (0/0/0)	2010	€450K
AUT	Macho	2007	27 (22/2/3)	0 (0/0/0)	2009	€300K
SEN	Diouf	2007	10 (8/2/0)	0 (0/0/0)	2011	Youth system
GRE	Pavlis	2007	23 (17/3/3)	3 (2/0/1)	2010	Youth system
GRE	Arabatzis	2002	1 (1/0/0)	0 (0/0/0)	2009	Youth system
GRE	Gentsoglou	2006	5 (5/0/0)	0 (0/0/0)	2013	Youth system
