Rank (CSA)	State(s)	2007 Estimate	2000 Population	Percent Change (1990–2000)
4	TX	0 6,498,410	0 5,487,956	A011 +18.41%
22	MO - KS	0 2,053,928	0 1,901,070	A042 +8.04%
(MSA 28)	TX	0 1,990,675	0 1,711,721	A088 +16.30%
(MSA 37)	TX	0 1,598,161	0 1,249,748	A018 +27.88%
34	OK	0 1,262,027	0 1,160,942	A034 +8.71%
44	OK	00, 955,643	00, 908,528	A063 +5.19%
56	KS	00, 630,703	00, 607,457	A075 +3.83%
(MSA 131)	TX	00, 378,935	00, 330,714	A075 +14.58%
(MSA 189)	KS	00, 228,692	00, 224,551	A560 +1.84%
(MSA 190)	TX	00, 228,123	00, 213,517	A299 +6.84%
(MSA 271)	TX	00, 148,148	00, 151,524	A788 -2.23%
(MSA 343)	OK	00, 113,811	00, 114,996	A730 -1.03%
(MSA 348)	KS	00, 113,488	99,962	A117 +13.53%
(μSA 449)	OK	79,931	68,190	A078 +17.22%
(μSA 512)	KS	63,145	64,790	A805 -2.54%
(μSA 549)	OK	57,657	57,813	A691 -0.27%
(μSA 559)	OK	56,694	54,452	A426 +4.12%
(μSA 639)	OK	45,638	48,080	A890 -5.08%
(μSA 642)	OK	45,393	42,521	A304 +6.75%
(μSA 662)	OK	43,322	43,182	A645 +0.32%
(μSA 704)	OK	39,563	36,534	A239 +8.29%
(μSA 717)	KS	38,863	38,965	A690 -0.26%
(μSA 718)	KS	38,860	38,242	A578 +1.62%
