Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
9	November 4	New York	L 99–116	Connie Hawkins (39)	Paul Silas (9)	Gail Goodrich , Connie Hawkins (4)	Arizona Veterans Memorial Coliseum 10,552	3–6
10	November 7	@ Los Angeles	W 122–120	Gail Goodrich (37)	Paul Silas (14)	Dick Van Arsdale (7)	The Forum 10,557	4–6
11	November 9	Detroit	W 140–129	Connie Hawkins (35)	Paul Silas (14)	Gail Goodrich (12)	Arizona Veterans Memorial Coliseum 9,500	5–6
12	November 13	Philadelphia	L 110–124	Dick Van Arsdale (30)	Jim Fox (14)	Gail Goodrich (7)	Arizona Veterans Memorial Coliseum 5,440	5–7
13	November 14	@ Los Angeles	L 112–127	Jim Fox (39)	Jim Fox (23)	Connie Hawkins (7)	The Forum 8,902	5–8
14	November 15	Los Angeles	W 114–111	Gail Goodrich (31)	Connie Hawkins (18)	Gail Goodrich (6)	Arizona Veterans Memorial Coliseum 6,318	6–8
15	November 16	Atlanta	W 139–118	Connie Hawkins (29)	Paul Silas (15)	Gail Goodrich , Connie Hawkins (8)	University Arena 5,094	7–8
16	November 18	@ Boston	L 119–120 (OT)	Dick Van Arsdale (32)	Connie Hawkins (17)	Connie Hawkins , Dick Van Arsdale (6)	Baltimore Civic Center 6,028	7–9
17	November 19	@ Baltimore	L 118–133	Gail Goodrich (29)	Lamar Green (16)	Dick Van Arsdale (11)	The Spectrum 9,287	7–10
19	November 22	@ New York	L 114–128	Dick Van Arsdale (24)	Paul Silas (10)	Gail Goodrich (12)	Madison Square Garden 19,401	7–12
20	November 23	@ Cincinnati	L 123–137	Jerry Chambers (31)	Connie Hawkins (9)	Gail Goodrich (9)	Cincinnati Gardens 2,866	7–13
21	November 25	Baltimore	L 124–134	Dick Van Arsdale (30)	Connie Hawkins (16)	Gail Goodrich (10)	Arizona Veterans Memorial Coliseum 5,776	7–14
22	November 29	@ Seattle	L 129–130	Jim Fox (31)	Jim Fox (13)	Dick Van Arsdale (9)	Seattle Center Coliseum 9,418	7–15
