Driver	Constructor	Laps	Time/Retired	Grid
Pedro Rodríguez	Cooper - Maserati	80	2:05:45.9	4
John Love	Cooper - Climax	80	+ 26.4	5
John Surtees	Honda	79	+ 1 Lap	6
Denny Hulme	Brabham - Repco	78	+ 2 Laps	2
Bob Anderson	Brabham - Climax	78	+ 2 Laps	10
Jack Brabham	Brabham - Repco	76	+ 4 Laps	1
Dave Charlton	Brabham - Climax	63	Not Classified	8
Luki Botha	Brabham - Climax	60	Not Classified	17
Sam Tingle	LDS - Climax	56	Accident	14
Piers Courage	Lotus - BRM	51	Fuel System	18
Dan Gurney	Eagle - Climax	44	Suspension	11
Jo Siffert	Cooper - Maserati	41	Engine	16
Jochen Rindt	Cooper - Maserati	38	Engine	7
Mike Spence	BRM	31	Oil Leak	13
Jo Bonnier	Cooper - Maserati	30	Engine	12
Jim Clark	Lotus - BRM	22	Engine	3
Graham Hill	Lotus - BRM	6	Accident	15
Jackie Stewart	BRM	2	Engine	9
