Format name	Container	Video coding	Bit depth	Color sampling	Frame size	Video bit rate, Mbit/s	Audio coding
DVCAM	MXF , DV-AVI	DV	8	4:2:0	720x576	25 (CBR)	PCM 4 ch/16 bit/48kHz
DVCAM	MXF , DV-AVI	DV	8	4:1:1	720x480	25 (CBR)	PCM 4 ch/16 bit/48kHz
MPEG IMX	MXF	MPEG-2 422P@ML	8	4:2:2	720x576	30 (CBR), 40 (CBR), 50(CBR)	PCM 8 ch/16 bit/48kHz, or 4 ch/24 bit/48kHz
MPEG IMX	MXF	MPEG-2 422P@ML	8	4:2:2	720x480	30 (CBR), 40 (CBR), 50(CBR)	PCM 8 ch/16 bit/48kHz, or 4 ch/24 bit/48kHz
MPEG HD	MXF, MP4	MPEG-2 MP@H14/HL	8	4:2:0	1920x1080	35 (VBR)	PCM 4 ch/16 bit/48kHz
MPEG HD	MXF, MP4	MPEG-2 MP@H14/HL	8	4:2:0	1440x1080	18 (VBR), 25 (CBR), 35 (VBR)	PCM 4 ch/16 bit/48kHz
MPEG HD	MXF, MP4	MPEG-2 MP@H14/HL	8	4:2:0	1280x720	25 (CBR), 35 (VBR), 19 (CBR)	PCM 4 ch/16 bit/48kHz
MPEG HD422	MXF	MPEG-2 422P@HL	8	4:2:2	1920x1080	50 (CBR)	PCM 8 ch/24 bit/48kHz, or 4 ch/24 bit/48kHz
MPEG HD422	MXF	MPEG-2 422P@HL	8	4:2:2	1280x720	50 (CBR)	PCM 8 ch/24 bit/48kHz, or 4 ch/24 bit/48kHz
Proxy AV	MXF	MPEG-4 Part-2 (ASP)	8	4:2:0	CIF (50i - 352x288)	1.5	A-Law 4 ch/8 bit/8kHz
