Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1948 (21st)	Monsieur Vincent	Monsieur Vincent	Maurice Cloche Category:Articles with hCards	Won Honorary Award
1950 (23rd)	The Walls of Malapaga	Au-delà des grilles	René Clément Category:Articles with hCards	Won Honorary Award
1952 (25th)	Forbidden Games	Jeux interdits	René Clément Category:Articles with hCards	Won Honorary Award
1956 (29th)	Gervaise	Gervaise	René Clément Category:Articles with hCards	Nominee
1957 (30th)	Gates of Paris	Porte des Lilas	René Clair Category:Articles with hCards	Nominee
1958 (31st)	My Uncle	Mon Oncle	Jacques Tati Category:Articles with hCards	Won Academy Award
1959 (32nd)	Black Orpheus	Orfeu Negro	Marcel Camus Category:Articles with hCards	Won Academy Award
1961 (34th)	Last Year at Marienbad	L'année dernière à Marienbad	Alain Resnais Category:Articles with hCards	Not Nominated
1962 (35th)	Sundays and Cybele	Les dimanches de ville d'Avray	Serge Bourguignon Category:Articles with hCards	Won Academy Award
1963 (36th)	The Fire Within	Le feu follet	Louis Malle Category:Articles with hCards	Not Nominated
1964 (37th)	The Umbrellas of Cherbourg	Les Parapluies de Cherbourg	Jacques Demy Category:Articles with hCards	Nominee
1965 (38th)	Pierrot le Fou	Pierrot le fou	Jean-Luc Godard Category:Articles with hCards	Not Nominated
1966 (39th)	A Man and a Woman	Un homme et une femme	Claude Lelouch Category:Articles with hCards	Won Academy Award
1967 (40th)	Live for Life	Vivre Pour Vivre	Claude Lelouch Category:Articles with hCards	Nominee
1968 (41st)	Stolen Kisses	Baisers volés	François Truffaut Category:Articles with hCards	Nominee
1969 (42nd)	My Night with Maud	Ma nuit chez Maud	Éric Rohmer Category:Articles with hCards	Nominee
1970 (43rd)	Hoa-Binh	Hoa-Binh	Raoul Coutard Category:Articles with hCards	Nominee
1972 (45th)	The Discreet Charm of the Bourgeoisie	Le Charme discret de la bourgeoisie	Luis Buñuel Category:Articles with hCards	Won Academy Award
1973 (46th)	Day for Night	La Nuit américaine	François Truffaut Category:Articles with hCards	Won Academy Award
1974 (47th)	Lacombe, Lucien	Lacombe Lucien	Louis Malle Category:Articles with hCards	Nominee
1975 (48th)	India Song	India Song	Marguerite Duras Category:Articles with hCards	Not Nominated
1977 (50th)	Madame Rosa	La Vie devant soi	Moshé Mizrahi Category:Articles with hCards	Won Academy Award
1978 (51st)	Get Out Your Handkerchiefs	Préparez vos mouchoirs	Bertrand Blier Category:Articles with hCards	Won Academy Award
1979 (52nd)	A Simple Story	Une histoire simple	Claude Sautet Category:Articles with hCards	Nominee
