Date	Tournament	Surface	Partnering	Opponents	Score
4 July 2005	Mantova , Italy	Clay	Alessandro Motti	Salvador Navarro Óscar Serrano	5–7, 6–3, 6–3
2 August 2005	Saransk , Russia	Clay	Simon Stadler	Konstantin Kravchuk Alexander Kudryavtsev	7–6 (7–2) , 4–6, 7–6 (7–3)
19 September 2005	Banja Luka , Bosnia and Herzegovina	Clay	Rainer Eitzinger	Jeroen Masson Stefan Wauters	4–6, 6–3, 6–3
25 September 2006	Bratislava , Slovak Republic	Clay	Marcel Granollers	David Marrero Pablo Santos	7–6 (7–2) , 6–4
9 October 2006	Barcelona , Spain	Clay	Tomas Behrend	Pablo Andújar Marcel Granollers	6–3, 6–2
26 March 2007	Napoli , Italy	Clay	Marcel Granollers	Marco Crugnola Alessio di Mauro	6–4, 6–2
30 April 2007	Rome , Italy	Clay	Marcel Granollers	Stefano Galvani Manuel Jorquera	3–6, 6–1, [11–9]
1 January 2008	Nouméa , New Caledonia	Hard	Simone Vagnozzi	Jan Mertl Martin Slanar	6–4, 6–4
11 February 2008	Belgrade , Serbia	Carpet	Konstantinos Economidis	Alessandro Motti Filip Polášek	4–6, 6–2, [10–8]
24 March 2008	Barletta , Italy	Clay	Marcel Granollers	Oliver Marach Michal Mertiňák	6–3, 2–6, [11–9]
28 April 2008	Rome, Italy	Clay	Simone Vagnozzi	Paolo Lorenzi Giancarlo Petrazzuolo	6–3, 6–3
27 May 2008	Alessandria , Italy	Clay	Simone Vagnozzi	Matwé Middelkoop Melle Van Gemerden	3–6, 6–1, [10–4]
13 October 2008	Tashkent , Uzbekistan	Hard	Pavel Šnobel	Michail Elgin Alexandre Kudryavtsev	6–3, 6–4
28 February 2010	Meknes , Morocco	Clay	Pablo Andújar	Alexandr Dolgopolov Artem Smirnov	6–2, 6–2
12 September 2010	Braşov , Romania	Clay	Daniele Giorgini	Radu Albot Andrej Ciumac	6–3, 6–4
19 September 2010	Todi , Italy	Clay	Alessio di Mauro	Marcel Granollers Gerard Granollers-Pujol	6–1, 6–4
3 April 2011	Barranquilla , Colombia	Hard	Paolo Lorenzi	Alejandro Falla Eduardo Struvay	6–3, 6–4
