Game	Date	Opponent	Score	Location	Attendance	Record	Points
51	February 3, 2009	Florida Panthers	3–4 (OT)	Air Canada Centre	19095	19–23–9	47
52	February 4, 2009	@ Buffalo Sabres	0–5	HSBC Arena	17355	19–24–9	47
53	February 7, 2009	@ Montreal Canadiens	5–2	Bell Centre	21273	20–24–9	49
54	February 10, 2009	@ Florida Panthers	4–5 (OT)	BankAtlantic Center	13764	20–24–10	50
55	February 12, 2009	@ Tampa Bay	4–6	St. Pete Times Forum	16526	20–25–10	50
56	February 14, 2009	Pittsburgh Penguins	6–2	Air Canada Centre	19365	21–25–10	52
57	February 17, 2009	Buffalo Sabres	1–4	Air Canada Centre	19287	21–26–10	52
58	February 19, 2009	Columbus Blue Jackets	3–4 (SO)	Air Canada Centre	19179	21–26–11	53
59	February 21, 2009	Vancouver Canucks	2–3 (SO)	Air Canada Centre	19504	21–26–12	54
60	February 22, 2009	@ New York Rangers	3–2 (OT)	Madison Square Garden	18200	22–26–12	56
61	February 25, 2009	New York Rangers	2–1 (SO)	Air Canada Centre	19383	23–26–12	58
62	February 26, 2009	@ New York Islanders	5–4 (SO)	Nassau Veterans Memorial Coliseum	12201	24–26–12	60
