Date	Opponent	Score	Decision	Attendance	Record
February 2	Calgary Flames	4 - 3	Budaj	13,409	24-26-1
February 5	Dallas Stars	3 - 2	Budaj	13,624	25-26-1
February 7	@ St. Louis Blues	4 - 1	Budaj	19,250	25-27-1
February 10	@ Columbus Blue Jackets	3 - 0	Budaj	14,506	25-28-1
February 11	@ Minnesota Wild	3 - 2	Raycroft	18,568	25-29-1
February 13	Montreal Canadiens	4 - 2	Budaj	17,514	25-30-1
February 15	@ Detroit Red Wings	6 - 5	Raycroft	20,066	26-30-1
February 17	Ottawa Senators	3 - 2	Raycroft	15,237	27-30-1
February 20	@ Washington Capitals	4 - 1	Raycroft	18,277	28-30-1
February 22	@ Carolina Hurricanes	5 - 2	Raycroft	18,680	28-31-1
February 24	@ Atlanta Thrashers	4 - 3	Budaj	12,101	28-32-1
February 26	@ New Jersey Devils	4 - 0	Raycroft	16,107	28-33-1
February 28	@ New York Rangers	6 - 1	Budaj	18,200	28-34-1
