Max P-State Frequency	Min P-State Frequency	Model	Package-Socket	Core #	TDP (W)	Manufacturing Process	Part Number(OPN)
1400MHz	N/A	140	Socket 940	1	82.1	130 nm	OSA140CEP5AT
1400MHz	N/A	240	Socket 940	1	82.1	130nm	OSA240CEP5AU
1400MHz	N/A	840	Socket 940	1	82.1	130nm	OSA840CEP5AV
1600MHz	N/A	142	Socket 940	1	82.1	130nm	OSA142CEP5AT
1600MHz	N/A	242	Socket 940	1	82.1	130nm	OSA242CEP5AU
1600MHz	N/A	842	Socket 940	1	82.1	130nm	OSA842CEP5AV
1600MHz	N/A	242	Socket 940	1	85.3	90 nm	OSA242FAA5BL
1600MHz	N/A	842	Socket 940	1	85.3	90nm	OSA842FAA5BM
1600MHz	N/A	260	Socket 940	2	55.0	90nm	OSK260FAA6CB
1600MHz	N/A	860	Socket 940	2	55.0	90nm	OSK860FAA6CC
