Dance	Best dancer	Best score	Worst dancer	Worst score
Cha-cha-cha	Laila Ali	30	Billy Ray Cyrus	13
Foxtrot	Joey Fatone	30	Leeza Gibbons	15
Mambo	Laila Ali	30	John Ratzenberger	19
Quickstep	Apolo Anton Ohno Laila Ali	30	Clyde Drexler	18
Jive	Joey Fatone Ian Ziering	30	Clyde Drexler	16
Tango	Joey Fatone	30	John Ratzenberger	20
Waltz	Laila Ali	27	Clyde Drexler	15
Rumba	Laila Ali Apolo Anton Ohno	28	Clyde Drexler	13
Paso Doble	Apolo Anton Ohno	30	John Ratzenberger Leeza Gibbons	16
Samba	Apolo Anton Ohno Laila Ali	30	John Ratzenberger	18
Freestyle	Apolo Anton Ohno Joey Fatone	30	Laila Ali	26
