Year	Champion	Runner-Up	Score	Venue
1888	Norwood	South Melbourne	3 games - 0	Kensington Oval, Adelaide
1890	Port Adelaide	South Melbourne	7.10 - 6.13 *	Adelaide Oval
1893	Essendon	South Adelaide	10.23 - 3.6 *	Victoria Park, Melbourne
1907	Norwood	Carlton	13.12 (90) - 8.10 (58)	Adelaide Oval
1908	West Adelaide	Carlton	12.9 (81) - 7.10 (52)	Adelaide Oval
1909	South Melbourne	West Adelaide	11.8 (74) - 7.14 (56)	Melbourne Cricket Ground
1910	Port Adelaide	Collingwood	15.20 (110) - 7.9 (51)	Adelaide Oval
1911	West Adelaide	Essendon	8.9 (57) - 7.12 (54)	Adelaide Oval
1913	Port Adelaide	Fitzroy	13.16 (94) - 4.7 (31)	Adelaide Oval
1914	Port Adelaide	Carlton	9.16 (70) - 5.6 (36)	Adelaide Oval
1968	Carlton	Sturt	13.15 (93) - 6.20 (56)	Adelaide Oval
1969	Richmond	Sturt	15.27 (117) - 9.10 (64)	Adelaide Oval
1970	Carlton	Sturt	21.13 (139) - 12.22 (94)	Adelaide Oval
1971	Hawthorn	North Adelaide	13.13 (91) - 10.7 (67)	Adelaide Oval
1972	North Adelaide	Carlton	10.13 (73) - 10.12 (72)	Adelaide Oval
1973	Richmond	Subiaco	12.20 (92) - 10.19 (79)	Adelaide Oval
1974	Richmond	Sturt	27.11 (173) - 13.17 (95)	Football Park
1975	North Melbourne	Norwood	17.15 (117) - 5.11 (41)	Football Park
1976	Hawthorn	North Melbourne	12.17 (89) - 5.11 (41)	Norwood Oval **
