City	Chinese	Pinyin	Province	Urban Population (2010)	Administrative Population (2010)
Shanghai	上海	Shànghǎi	Municipality	22,315,426	23,019,148
Beijing	北京	Běijīng	Municipality	18,827,000	19,612,368
Tianjin	天津	Tiānjīn	Municipality	11,090,314	12,937,954
Guangzhou	广州	Guǎngzhōu	Guangdong	11,070,654	12,700,800
Shenzhen	深圳	Shēnzhèn	Guangdong	10,357,938	10,357,938
Dongguan	东莞	Dōngguǎn	Guangdong	8,220,937	8,220,937
Chengdu	成都	Chéngdū	Sichuan	7,123,697	14,047,625
Nanjing	南京	Nánjīng	Jiangsu	6,852,984	8,004,680
Wuhan	武汉	Wǔhàn	Hubei	6,434,373	9,785,392
Shenyang	沈阳	Shěnyáng	Liaoning	5,743,718	8,106,171
Hangzhou	杭州	Hángzhōu	Zhejiang	5,695,313	8,700,400
Chongqing	重庆	Chóngqìng	Municipality	5,402,721	28,846,170
Suzhou	苏州	Sūzhōu	Jiangsu	5,349,000	10,465,994
Harbin	哈尔滨	Hārbīn	Heilongjiang	5,282,083	10,635,971
Jinan	济南	Jǐnán	Shangdong	3,922,180	6,814,000
Xi'an	西安	Xī'ān	Shaanxi	3,890,098	8,467,837
Wuxi	无锡	Wúxí	Jiangsu	3,542,319	6,372,624
Hefei	合肥	Héféi	Anhui	3,352,076	5,702,466
Changchun	长春	Chángchūn	Jilin	3,341,700	7,677,089
Changzhou	常州	Chángzhōu	Jiangsu	3,290,548	4,591,972
Dalian	大连	Dàlián	Liaoning	3,266,905	6,690,432
Taiyuan	太原	Tàiyuán	Shanxi	3,212,500	4,201,591
Kunming	昆明	Kūnmíng	Yunnan	3,184,580	6,432,212
Zhengzhou	郑州	Zhèngzhōu	Henan	3,132,000	8,626,505
Changsha	长沙	Chángshā	Hunan	3,093,980	7,044,118
Ningbo	宁波	Níngbō	Zhejiang	3,089,180	7,605,700
Qingdao	青岛	Qīngdǎo	Shangdong	3,063,492	8,715,100
Zibo	淄博	Zībó	Shangdong	3,002,181	4,530,600
Fuzhou	福州	Fúzhōu	Fujian	2,921,763	7,115,370
Nanning	南宁	Nánníng	Guangxi	2,875,220	6,661,600
