No.	Season	Bowler	Batsmen	For	Against	Ground	Scorecard
1	2008	Lakshmipathy Balaji	Irfan Pathan Piyush Chawla VRV Singh	Chennai Super Kings	Kings XI Punjab	Chennai – MA Chidambaram Stadium	10 May 2008
2	2008	Amit Mishra	Dwaraka Ravi Teja RP Singh Pragyan Ojha	Delhi Daredevils	Deccan Chargers	Delhi – Feroz Shah Kotla	15 May 2008
3	2008	Makhaya Ntini	Sourav Ganguly Debabrata Das David Hussey	Chennai Super Kings	Kolkata Knight Riders	Kolkata – Eden Gardens	18 May 2008
4	2009	Yuvraj Singh	Robin Uthappa Mark Boucher Jacques Kallis	Kings XI Punjab	Royal Challengers Bangalore	Durban – Kingsmead	1 May 2009
5	2009	Rohit Sharma	Abhishek Nayar Harbhajan Singh JP Duminy	Deccan Chargers	Mumbai Indians	Centurion – Supersport Park	6 May 2009
6	2009	Yuvraj Singh	Herschelle Gibbs Andrew Symonds Venugopal Rao	Kings XI Punjab	Deccan Chargers	Johannesburg – Wanderers Stadium	17 May 2009
7	2010	Praveen Kumar	Damien Martyn Sumit Narwal Paras Dogra	Royal Challengers Bangalore	Rajasthan Royals	Bangalore – M Chinnaswamy Stadium	18 March 2010
8	2011	Amit Mishra	Ryan McLaren Mandeep Singh Ryan Harris	Deccan Chargers	Kings XI Punjab	Dharamsala – HPCA Stadium	21 May 2011
9	2012	Ajit Chandila	Jesse Ryder Sourav Ganguly Robin Uthappa	Rajasthan Royals	Pune Warriors India	Jaipur – Sawai Mansingh Stadium	13 May 2012
10	2013	Sunil Narine	David Hussey Azhar Mahmood Gurkeerat Singh	Kolkata Knight Riders	Kings XI Punjab	Mohali – Punjab Cricket Association Stadium	16 April 2013
