Driver	Constructor	Laps	Time/Retired	Grid
Peter Revson	McLaren - Ford	67	1:29:18.5	3
Ronnie Peterson	Lotus - Ford	67	+ 2.8	1
Denny Hulme	McLaren - Ford	67	+ 3.0	2
James Hunt	March - Ford	67	+ 3.4	11
François Cevert	Tyrrell - Ford	67	+ 36.6	7
Carlos Reutemann	Brabham - Ford	67	+ 44.7	8
Clay Regazzoni	BRM	67	+ 1:11.7	10
Jacky Ickx	Ferrari	67	+ 1:17.4	19
Howden Ganley	Iso Marlboro - Ford	66	+ 1 Lap	18
Jackie Stewart	Tyrrell - Ford	66	+ 1 Lap	4
Mike Beuttler	March - Ford	65	+ 2 Laps	24
Niki Lauda	BRM	63	+ 4 Laps	9
Rikky von Opel	Ensign - Ford	61	+ 6 Laps	21
Wilson Fittipaldi	Brabham - Ford	44	Oil leak	13
Emerson Fittipaldi	Lotus - Ford	36	Transmission	5
John Watson	Brabham - Ford	36	Fuel system	23
Graham Hill	Shadow - Ford	24	Chassis	27
Chris Amon	Tecno	6	Fuel system	29
Jody Scheckter	McLaren - Ford	0	Collision	6
Mike Hailwood	Surtees - Ford	0	Collision	12
Jochen Mass	Surtees - Ford	0	Collision	14
Carlos Pace	Surtees - Ford	0	Collision	15
Jean-Pierre Beltoise	BRM	0	Collision	17
Andrea de Adamich	Brabham - Ford	0	Collision	20
Roger Williamson	March - Ford	0	Collision	22
George Follmer	Shadow - Ford	0	Collision	25
Jackie Oliver	Shadow - Ford	0	Collision	26
Graham McRae	Iso Marlboro - Ford	0	Throttle	28
David Purley	March - Ford	0	Spun off	16
