Tie no	Home team	Score	Away team	Date
1	Darlington	1–1	Telford United	29 January 1985
Replay	Telford United	3–0	Darlington	4 February 1985
2	Liverpool	1–0	Tottenham Hotspur	27 January 1985
3	Leicester City	1–0	Carlisle United	26 January 1985
4	Nottingham Forest	0–0	Wimbledon	26 January 1985
Replay	Wimbledon	1–0	Nottingham Forest	30 January 1985
5	Sheffield Wednesday	5–1	Oldham Athletic	26 January 1985
6	Grimsby Town	1–3	Watford	26 January 1985
7	Luton Town	2–0	Huddersfield Town	26 January 1985
8	Everton	2–0	Doncaster Rovers	26 January 1985
9	Ipswich Town	3–2	Gillingham	26 January 1985
10	Barnsley	2–1	Brighton & Hove Albion	26 January 1985
11	West Ham United	2–1	Norwich City	4 February 1985
12	Manchester United	2–1	Coventry City	26 January 1985
13	Chelsea	2–3	Millwall	4 February 1985
14	York City	1–0	Arsenal	26 January 1985
15	Oxford United	0–1	Blackburn Rovers	30 January 1985
16	Orient	0–2	Southampton	26 January 1985
