Week	Date	Opponent	Result	Attendance
1	September 10, 1989	at Detroit Lions	W 16-13	36,735
2	September 17, 1989	at Seattle Seahawks	W 34-24	60,444
3	September 24, 1989	at New York Giants	L 35-7	75,742
4	October 1, 1989	San Diego Chargers	L 24-13	44,201
5	October 8, 1989	at Washington Redskins	L 30-28	53,335
6	October 15, 1989	Philadelphia Eagles	L 17-5	42,620
7	October 22, 1989	Atlanta Falcons	W 34-20	33,894
8	October 29, 1989	at Dallas Cowboys	W 19-10	44,431
9	November 5, 1989	New York Giants	L 20-13	46,588
10	November 12, 1989	Dallas Cowboys	W 24-20	49,657
11	November 19, 1989	at Los Angeles Rams	L 37-14	53,176
12	November 26, 1989	Tampa Bay Buccaneers	L 14-13	33,297
13	December 3, 1989	Washington Redskins	L 29-10	38,870
14	December 10, 1989	at Los Angeles Raiders	L 16-14	41,785
15	December 16, 1989	Denver Broncos	L 37-0	56,071
16	December 24, 1989	at Philadelphia Eagles	L 31-14	43,287
