Date	Episode	Performer 1	Performer 2	Performer 3	Performer 4
1 July 1994	1	Stephen Frost	Colin Mochrie	Ryan Stiles	Tony Slattery
8 July 1994	2	Josie Lawrence	Ryan Stiles	Greg Proops	Mike McShane
15 July 1994	3	Stephen Frost	Colin Mochrie	Ryan Stiles	Tony Slattery
22 July 1994	4	Mike McShane	Greg Proops	Ryan Stiles	Tony Slattery
29 July 1994	5	Josie Lawrence	Stephen Frost	Ryan Stiles	Tony Slattery
5 August 1994	6	Stephen Frost	Colin Mochrie	Ryan Stiles	Tony Slattery
12 August 1994	7	Josie Lawrence	Rory Bremner	Tony Slattery	Mike McShane
19 August 1994	8	Greg Proops	Chip Esten	Ryan Stiles	Tony Slattery
26 August 1994	9	Greg Proops	Colin Mochrie	Ryan Stiles	Tony Slattery
2 September 1994	10	Compilation 1	Compilation 1	Compilation 1	Compilation 1
9 September 1994	11	Compilation 2	Compilation 2	Compilation 2	Compilation 2
