Margin	Score	Opponent	Venue	Round
60	60-0	South Sydney Rabbitohs	Marathon Stadium	Rd 23, 1999
50	56-6	Wests Tigers	Marathon Stadium	Rd 10, 2001
48	54-6	St. George Illawarra Dragons	WIN Stadium	Rd 5, 2006
46	52-6	Canberra Raiders	EnergyAustralia Stadium	Rd 4, 2002
44	56-12	Manly-Warringah Sea Eagles	EnergyAustralia Stadium	Rd 16, 2004
44	52-8	Cronulla-Sutherland Sharks	EnergyAustralia Stadium	Rd 6, 2002
44	44-0	Brisbane Broncos	Marathon Stadium	Rd 18, 2001
44	44-0	South Queensland Crushers	Marathon Stadium	Rd 3, 1997
44	50-6	Gold Coast Seagulls	Marathon Stadium	Rd 21, 1993
42	60-18	Penrith Panthers	EnergyAustralia Stadium	Rd 26, 2001
42	42-0	Gold Coast Chargers	Marathon Stadium	Rd 8, 1996
42	42-0	Sydney Bulldogs	Marathon Stadium	Rd 13, 1995
42	48-6	Auckland Warriors	Marathon Stadium	Rd 9, 1995
