Position	Channel	Launch date	Owner	2005	2006	2007	2008	2009	2010	2011	2012	2013 (p)
1	Rai 1	1954	RAI	22.86	22.99	22.33	21.80	20.63	19.86	18.1	18.3	19.12
2	Canale 5	1980	Mediaset	21.82	20.96	20.67	20.33	20.50	18.78	17.0	15.9	15.25
3	Rai 3	1979	RAI	9.11	9.31	9.06	9.07	8.46	7.75	8.5	7.7	7.93
4	Rai 2	1961	RAI	11.29	11.27	10.38	10.60	8.90	9.02	8.3	7.6	6.81
5	Italia 1	1982	Mediaset	11.48	11.09	11.18	10.83	10.68	9.22	8.3	6.18	6.48
6	Rete 4	1982	Mediaset	8.63	8.22	8.68	8.28	7.47	6.79	6.7	5.42	5.26
7	La7	2001	Cairo Communication	2.71	3.02	2.97	3.08	2.90	3.67	3.8	3.68	4.29
8	Real Time	2005	Discovery Networks	<0.90	<0.90	<0.90	<0.90	<0.90	<0.90	1.09	1.4	1.49
9	Iris	2007	Mediaset	N.E.	N.E.	<0.90	<0.90	<0.90	<0.90	<0.90	1.1	1.27
10	Rai YoYo	2006	RAI	N.E.	<0.90	<0.90	<0.90	<0.90	<0.90	<0.90	0.90	1.24
11	DMAX	2011	Discovery Networks	N.E.	N.E.	N.E.	N.E.	N.E.	N.E.	<0.90	<0.90	1.17
12	Rai Premium	2003	RAI	<0.90	<0.90	<0.90	<0.90	<0.90	<0.90	<0.90	1.25	1.11
13	Rai Movie	1999	RAI	N.E.	<0.90	<0.90	<0.90	<0.90	<0.90	<0.90	0.92	0.93
14	Rai 4	2008	RAI	N.E.	N.E.	N.E.	<0.90	<0.90	<0.90	0.98	1.1	0.91
