Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	55	1:47:34.801	1
Rubens Barrichello	Ferrari	55	+23.660	2
David Coulthard	McLaren - Mercedes	55	+28.555	8
Heinz-Harald Frentzen	Jordan - Honda	55	+46.543	9
Ralf Schumacher	Williams - BMW	55	+48.233	3
Mika Häkkinen	McLaren - Mercedes	55	+48.606	4
Jos Verstappen	Arrows - Asiatech	55	+1:21.560	18
Jarno Trulli	Jordan - Honda	54	+1 Lap	5
Jean Alesi	Prost - Acer	54	+1 Lap	13
Luciano Burti	Jaguar - Cosworth	54	+1 Lap	15
Jenson Button	Benetton - Renault	53	+2 Laps	17
Gastón Mazzacane	Prost - Acer	53	+2 Laps	19
Fernando Alonso	Minardi - European	52	+3 Laps	21
Tarso Marques	Minardi - European	51	+4 Laps	20
Giancarlo Fisichella	Benetton - Renault	31	Fuel Pressure	16
Jacques Villeneuve	BAR - Honda	3	Spun off	7
Nick Heidfeld	Sauber - Petronas	3	Spun off	11
Enrique Bernoldi	Arrows - Asiatech	3	Spun off	22
Juan Pablo Montoya	Williams - BMW	3	Spun off	6
Eddie Irvine	Jaguar - Cosworth	3	Water Leak	12
Olivier Panis	BAR - Honda	1	Oil Leak	10
Kimi Räikkönen	Sauber - Petronas	0	Driveshaft	14
