Date	Visitor	Score	Home	Decision	Attendance	Record
March 2	Columbus	3 – 4	Edmonton	Leclaire	16,839	30–27–10
March 4	Columbus	0 – 1	Calgary	Leclaire	19,289	30–28–10
March 7	Edmonton	2 – 1	Columbus	Leclaire	14,933	30–28–11
March 9	Tampa Bay	3 – 5	Columbus	Leclaire	14,796	31–28–11
March 14	Chicago	6 – 3	Columbus	Norrena	15,699	31–29–11
March 16	Detroit	3 – 4	Columbus	Norrena	18,188	32–29–11
March 18	Calgary	0 – 3	Columbus	Norrena	14,270	33–29–11
March 19	Columbus	1 – 3	Detroit	Norrena	19,061	33–30–11
March 22	Detroit	4 – 1	Columbus	Norrena	17,681	33–31–11
March 25	Columbus	0 – 3	Nashville	Norrena	16,330	33–32–11
March 26	Chicago	0 – 4	Columbus	Norrena	14,454	34–32–11
March 28	Nashville	2 – 0	Columbus	Leclaire	15,595	34–33–11
March 30	Columbus	4 – 5	Chicago	Norrena	20,885	34–33–12
