Rank	Res.	Wind	Athlete	Date	Location
1.	19.19	−0.3	Usain Bolt	20 August 2009	Berlin
2.	19.26	+0.7	Yohan Blake	16 September 2011	Brussels
3.	19.32	+0.4	Michael Johnson	1 August 1996	Atlanta
4.	19.53	+0.7	Walter Dix	16 September 2011	Brussels
5.	19.58	+1.3	Tyson Gay	30 May 2009	New York City
6.	19.63	+0.4	Xavier Carter	11 July 2006	Lausanne
7.	19.65	0.0	Wallace Spearmon	28 September 2006	Daegu
8.	19.68	+0.4	Frankie Fredericks	1 August 1996	Atlanta
9.	19.72A	+1.8	Pietro Mennea	12 September 1979	Mexico City
10.	19.73	−0.2	Michael Marsh	5 August 1992	Barcelona
11.	19.75	+1.5	Carl Lewis	19 June 1983	Indianapolis
11.	19.75	+1.7	Joe DeLoach	28 September 1988	Seoul
13.	19.77	+0.7	Ato Boldon	13 July 1997	Stuttgart
14.	19.79	+1.2	Shawn Crawford	26 August 2004	Athens
14.	19.79	+ 0.9	Warren Weir	23 June 2013	Kingston
16.	19.80	+0.8	Christophe Lemaitre	3 September 2011	Daegu
17.	19.81	−0.3	Alonso Edward	20 August 2009	Berlin
18.	19.83A	+0.9	Tommie Smith	16 October 1968	Mexico City
19.	19.84	+1.7	Francis Obikwelu	25 August 1999	Seville
20.	19.85	−0.3	John Capel	23 July 2000	Sacramento
20.	19.85	−0.5	Konstadinos Kederis	9 August 2002	Munich
20.	19.85	+1.4	Churandy Martina	23 August 2012	Lausanne
20.	19.85	0.0	Nickel Ashmeade	30 August 2012	Zurich
24.	19.86	+1.0	Donald Quarrie	3 August 1971	Cali
24.	19.86	+1.6	Maurice Greene	7 July 1997	Stockholm
24.	19.86	+1.5	Justin Gatlin	12 May 2002	Starkville
24.	19.86	+1.5	Jason Young	17 July 2012	Luzern
24.	19.86	+1.6	Isiah Young	23 June 2013	Des Moines
