Year	Entrant	Chassis	Engine	Pts.
1963	Team Lotus	Lotus 25	Climax V8	0
1964	North American Racing Team	Ferrari 156 Aero	Ferrari V6	1
1965	North American Racing Team	Ferrari 1512	Ferrari V12	2
1966	Team Lotus	Lotus 33	Climax V8	0
1966	Team Lotus	Lotus F2 44	Cosworth Straight-4	0
1966	Team Lotus	Lotus 33	BRM V8	0
1967	Cooper Car Company	Cooper T81	Maserati V12	15
1968	Owen Racing Organisation	BRM P126	BRM V12	18
1968	Owen Racing Organisation	BRM P133	BRM V12	18
1968	Owen Racing Organisation	BRM P138	BRM V12	18
1969	Reg Parnell Racing	BRM P126	BRM V12	3
1969	Scuderia Ferrari	Ferrari 312	Ferrari V12	3
1969	North American Racing Team	Ferrari 312	Ferrari V12	3
1970	Yardley Team BRM	BRM P153	BRM V12	23
1971	Yardley Team BRM	BRM P160	BRM V12	9
