Name	Location	Elevation + Height	Delivery	Purpose	Yield
Izzer	NTS Area U9bp	metres (ft) - metres (ft)	Underground shaft	Weapons development	less than 20 kt
Pongee	NTS Area U2ah	metres (ft) - metres (ft)	Underground shaft	Weapons development	less than 20 kt
Bronze	NTS Area U7f	metres (ft) - metres (ft)	Underground shaft	Weapons development	67 kt
Mauve	NTS Area U3dp	metres (ft) - metres (ft)	Underground shaft	Weapons development	18 kt
Ticking	NTS Area U9bj	metres (ft) - metres (ft)	Underground shaft	Weapons development	250 t
Centaur	NTS Area U2ak	metres (ft) - metres (ft)	Underground shaft	Weapons development	1 kt
Moa - 1 (with Screamer)	NTS Area U3ed	metres (ft) + 0	Underground shaft	Weapons development	2.5 kt
Screamer - 2 (with Moa)	NTS Area U3dg	metres (ft) - metres (ft)	Underground shaft	Weapon effect	9 kt
Elkhart	NTS Area U9bs	metres (ft) - metres (ft)	Underground shaft	Weapons development	6 kt
Long Shot	Amichitka Island, Alaska	metres (ft) - metres (ft)	Underground shaft	Joint verification	80 kt
Sepia	NTS Area U3en	metres (ft) - metres (ft)	Underground shaft	Weapons development	7 kt
Kermet	NTS Area U2c	metres (ft) - metres (ft)	Underground shaft	Weapons development	500 t
Corduroy	NTS Area U10k	metres (ft) - metres (ft)	Underground shaft	Weapons development	120 kt
Emerson	NTS Area U2al	metres (ft) - metres (ft)	Underground shaft	Weapons development	3 kt
Buff	NTS Area U3dh	metres (ft) - metres (ft)	Underground shaft	Weapons development	51 kt
Maxwell	NTS Area U9br	metres (ft) - metres (ft)	Underground shaft	Weapons development	less than 20 kt
Lampblack	NTS Area U7i	metres (ft) - metres (ft)	Underground shaft	Weapons development	38 kt
Sienna	NTS Area U3cj	metres (ft) - metres (ft)	Underground shaft	Weapons development	4 kt
Dovekie	NTS Area U3cd	metres (ft) - metres (ft)	Underground shaft	Weapons development	7 kt
Reo	NTS Area U10m	metres (ft) - metres (ft)	Underground shaft	Weapons development	150 t
Plaid 2	NTS Area U2r	metres (ft) - metres (ft)	Underground shaft	Weapons development	3.5 kt
Rex	NTS Area U20h(e)	metres (ft) - metres (ft)	Underground shaft	Weapons development	19 kt
Red Hot	NTS Area U12g.06	metres (ft) - metres (ft)	Underground tunnel	Weapon effect	2 kt
Cinnamon - 2 (with Finfoot)	NTS Area U3dm	metres (ft) + 0	Underground shaft	Safety experiment	less than 20 kt
Finfoot - 1 (with Cinnamon)	NTS Area U3du	metres (ft) - metres (ft)	Underground shaft	Weapons development	5 kt
Clymer	NTS Area U9ce	metres (ft) - metres (ft)	Underground shaft	Weapons development	3 kt
Purple	NTS Area U3ds	metres (ft) - metres (ft)	Underground shaft	Weapons development	7 kt
Templar	NTS Area U9bt	metres (ft) - metres (ft)	Underground shaft	Peaceful research	370 t
Lime	NTS Area U7j	metres (ft) - metres (ft)	Underground shaft	Weapons development	less than 20 kt
Stutz	NTS Area U2ca	metres (ft) - metres (ft)	Underground shaft	Weapons development	5 kt
Tomato	NTS Area U3ek	metres (ft) - metres (ft)	Underground shaft	Weapons development	6 kt
Duryea	NTS Area U20a1	metres (ft) - metres (ft)	Underground shaft	Weapons development	70 kt
Fenton	NTS Area U2m1	metres (ft) - metres (ft)	Underground shaft	Weapons development	1.4 kt
Pin Stripe	NTS Area U11b	metres (ft) - metres (ft)	Underground shaft	Weapon effect	5 kt
Ochre	NTS Area U3ec	metres (ft) - metres (ft)	Underground shaft	Safety experiment	less than 20 kt
Traveler	NTS Area U2cd	metres (ft) - metres (ft)	Underground shaft	Weapons development	20 kt
Cyclamen	NTS Area U3cx	metres (ft) - metres (ft)	Underground shaft	Weapons development	12 kt
Chartreuse	NTS Area U19d	metres (ft) - metres (ft)	Underground shaft	Weapons development	73 kt
Tapestry	NTS Area U2an	metres (ft) - metres (ft)	Underground shaft	Weapons development	10 kt
Piranha	NTS Area U7e	metres (ft) - metres (ft)	Underground shaft	Weapons development	120 kt
Dumont	NTS Area U2t	metres (ft) - metres (ft)	Underground shaft	Weapons development	200 kt
Discus Thrower	NTS Area U8a	metres (ft) - metres (ft)	Underground shaft	Weapon effect	22 kt
Pile Driver	NTS Area U15a.01	metres (ft) - metres (ft)	Underground shaft	Weapon effect	62 kt
Tan	NTS Area U7k	metres (ft) - metres (ft)	Underground shaft	Weapons development	160 kt
Puce	NTS Area U3bs	metres (ft) - metres (ft)	Underground shaft	Weapons development	less than 20 kt
Double Play	NTS Area U16a.03	metres (ft) - metres (ft)	Underground shaft	Weapon effect	less than 20 kt
Kankakee	NTS Area U10p	metres (ft) - metres (ft)	Underground shaft	Weapons development	200 kt
Vulcan	NTS Area U2bd	metres (ft) - metres (ft)	Underground shaft	Peaceful research	25 kt
Halfbeak	NTS Area U19b	metres (ft) - metres (ft)	Underground shaft	Weapons development	365 kt
