Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 4, 1994	Houston Oilers	W 45–21	1–0	Hoosier Dome	47,372
2	September 11, 1994	at Tampa Bay Buccaneers	L 10–24	1–1	Tampa Stadium	36,631
3	September 18, 1994	at Pittsburgh Steelers	L 21–31	1–2	Three Rivers Stadium	54,040
4	September 25, 1994	Cleveland Browns	L 14–21	1–3	Hoosier Dome	55,821
5	October 2, 1994	Seattle Seahawks	W 17–15	2–3	Hoosier Dome	49,876
6	October 9, 1994	at New York Jets	L 6–16	2–4	The Meadowlands	64,934
7	October 16, 1994	at Buffalo Bills	W 27–17	3–4	Rich Stadium	79,404
8	October 23, 1994	Washington Redskins	L 27–41	3–5	Hoosier Dome	57,879
9	October 30, 1994	New York Jets	W 28–25	4–5	Hoosier Dome	44,350
10	November 6, 1994	at Miami Dolphins	L 21–22	4–6	Joe Robbie Stadium	71,158
11	Bye	Bye	Bye	Bye	Bye	Bye
12	November 20, 1994	at Cincinnati Bengals	W 17–13	5–6	Riverfront Stadium	55,566
13	November 27, 1994	New England Patriots	L 10–12	5–7	Hoosier Dome	43,839
14	December 4, 1994	at Seattle Seahawks	W 31–19	6–7	Kingdome	39,574
15	December 11, 1994	at New England Patriots	L 13–38	6–8	Foxboro Stadium	57,656
16	December 18, 1994	Miami Dolphins	W 10–6	7–8	Hoosier Dome	58,867
17	December 24, 1994	Buffalo Bills	W 10–9	8–8	Hoosier Dome	38,458
