Tie no	Home team	Score	Away team	Date
1	Chesterfield	1–0	Chester	19 November 1955
2	Darlington	0–0	Carlisle United	19 November 1955
Replay	Carlisle United	0–0	Darlington	22 November 1955
2nd replay	Darlington	3–1	Carlisle United	28 November 1955
3	Hastings United	6–1	Southall	19 November 1955
4	Barrow	0–0	Crewe Alexandra	19 November 1955
Replay	Crewe Alexandra	2–3	Barrow	23 November 1955
5	Rochdale	0–1	York City	19 November 1955
6	Watford	5–3	Ramsgate Athletic	19 November 1955
7	Weymouth	34–254	Salisbury	19 November 1955
8	Yeovil Town	1–1	Aldershot	19 November 1955
Replay	Aldershot	1–1	Yeovil Town	23 November 1955
2nd replay	Yeovil Town	4580–35458	Aldershot	28 November 1955
9	Reading	1–0	Bournemouth & Boscombe Athletic	19 November 1955
10	Gillingham	1–1	Shrewsbury Town	19 November 1955
Replay	Shrewsbury Town	4–1	Gillingham	24 November 1955
11	Swindon Town	4–0	Hereford United	19 November 1955
12	Bishop Auckland	3–1	Durham City	19 November 1955
13	Wycombe Wanderers	1–3	Burton Albion	19 November 1955
14	Accrington Stanley	3–1	Wrexham	19 November 1955
15	Brentford	4–0	March Town United	19 November 1955
16	Crook Town	2–2	Derby County	19 November 1955
Replay	Derby County	5–1	Crook Town	23 November 1955
17	Northampton Town	4–1	Millwall	19 November 1955
18	Coventry City	0–1	Exeter City	19 November 1955
19	Brighton & Hove Albion	8–1	Newport County	19 November 1955
20	Rhyl	0–3	Bradford Park Avenue	19 November 1955
21	Norwich City	4–0	Dorchester Town	19 November 1955
22	Bradford City	3–1	Oldham Athletic	19 November 1955
23	Crystal Palace	0–0	Southampton	19 November 1955
Replay	Southampton	2–0	Crystal Palace	23 November 1955
24	Goole Town	1–2	Halifax Town	19 November 1955
25	Southend United	2–0	Queens Park Rangers	19 November 1955
26	Hartlepools United	3–0	Gateshead	19 November 1955
27	Scunthorpe & Lindsey United	3–0	Shildon	19 November 1955
28	Bedford Town	3–0	Leyton	19 November 1955
29	Mansfield Town	2–0	Stockport County	19 November 1955
30	Margate	2–2	Walsall	19 November 1955
Replay	Walsall	6–1	Margate	24 November 1955
31	Halesowen Town	2–4	Hendon	19 November 1955
32	Southport	6–1	Ashton United	19 November 1955
33	Torquay United	2–0	Colchester United	19 November 1955
34	Workington	4–2	Scarborough	19 November 1955
35	Netherfield	1–5	Grimsby Town	19 November 1955
36	Easington Colliery Welfare	0–2	Tranmere Rovers	19 November 1955
37	Boston United	3–2	Northwich Victoria	19 November 1955
38	Peterborough United	3–1	Ipswich Town	19 November 1955
39	Leyton Orient	7–1	Lovells Athletic	19 November 1955
40	Skegness Town	0–4	Worksop Town	19 November 1955
