Year	Miss Universe Philippines	Binibining Pilipinas-World	Binibining Pilipinas-International	Binibining Pilipinas-Tourism	First runner-up	Second runner-up
2000	Nina Ricci Alagao	Katherine Annwen de Guzman	Joanna Maria Peñaloza	Not awarded	Maria Cristina Tan	Nicole Hofer
2001	Zorayda Ruth Andam	Gilrhea Quinzon	Maricarl Tolosa	Not awarded	Michelle Reyes	Maricar Balagtas
2002	Karen Loren Agustin	Katherine Anne Manalo	Kristine Alzar	Not awarded	Margaret-Ann Bayot	Maria Lourdes Magno
2003	Carla Gay Balingit	Maria Rafaela Yunon	Jhezarie Javier	Not awarded	Kate Sephora Baesa	Noela Mae Evangelista
2004	Maricar Balagtas	Maria Karla Bautista	Margaret Ann Bayot	Not awarded	Tracy Ann Javelona	Princess Jasmine Tiongson
2005	Gionna Cabrera	Carlene Aguilar	Precious Lara Quigaman	Wendy Valdez	Wendy Valdez	Melanie Lariosa Ediza
2006	Lia Andrea Ramos	Anna Maris Igpit	Denille Lou Valmonte	Not awarded	Rosalyn Sirikit Santiago	Jeanne Bernadette Bello
2007	Anna Theresa Licaros	Margaret Nales Wilson	Nadia Lee Cien Shami	Not awarded	Leizel Verses	Abigail Lesley Cruz
2008	Jennifer Barrientos	Janina San Miguel	Patricia Fernandez	Not awarded	Danielle Castaño	Elizabeth Jacqueline Nacuspag
2008	Jennifer Barrientos	Danielle Castaño	Patricia Fernandez	Not awarded	Danielle Castaño	Elizabeth Jacqueline Nacuspag
2009	Bianca Manalo	Marie-Ann Umali	Melody Gersbach †	Not awarded	Richell Angalot	Regina Hahn
