8:00	8:30	9:00	9:30	10:00
The Bachelorette	The Bachelorette	The Bachelorette	The Bachelorette	The Mole
High School Musical: Get in the Picture	High School Musical: Get in the Picture	Wanna Bet?	Wanna Bet?	The Mole
The Big Bang Theory (Reruns)	How I Met Your Mother (Reruns)	Two and a Half Men (Reruns)	Rules of Engagement (Reruns)	CSI: Miami (Reruns)
Gossip Girl (Reruns)	Gossip Girl (Reruns)	One Tree Hill (Reruns)	One Tree Hill (Reruns)	Local Programming
Bones (Reruns)	Bones (Reruns)	House (Reruns)	House (Reruns)	Local Programming
Terminator: The Sarah Connor Chronicles (Reruns)	Terminator: The Sarah Connor Chronicles (Reruns)	Prison Break (Reruns)	Prison Break (Reruns)	Local Programming
Celebrity Exposé (Reruns)	Celebrity Exposé (Reruns)	Celebrity Exposé (Reruns)	Celebrity Exposé (Reruns)	Local Programming
Celebrity Exposé (Reruns)	Celebrity Exposé (Reruns)	Decision House (Reruns)	Decision House (Reruns)	Local Programming
Decision House (Reruns)	Decision House (Reruns)	Decision House (Reruns)	Decision House (Reruns)	Local Programming
Celebrity Exposé (Reruns)	Celebrity Exposé (Reruns)	Celebrity Exposé (Reruns)	Celebrity Exposé (Reruns)	Local Programming
American Gladiators	American Gladiators	Nashville Star	Nashville Star	Dateline NBC
