Team	Manager	Captain	Kit manufacturer	Shirt sponsor	Average Squad Age
FC Bunyodkor	Mirjalol Qosimov Category:Articles with hCards	Viktor Karpenko Category:Articles with hCards	Nike	UzGazOil	24.92
FC Pakhtakor Tashkent	Ravshan Khaydarov Category:Articles with hCards	Odil Ahmedov Category:Articles with hCards	Adidas	Kapital Bank	23.56
FC Shurtan Guzar	Edgar Gess Category:Articles with hCards	Asror Aliqulov Category:Articles with hCards	Adidas	Sho'rtan Gaz Mahsulot	26.61
FK Andijan	Orif Mamatkazin Category:Articles with hCards	Abdumajid Toirov Category:Articles with hCards	Puma	UzDaewoo	27.21
FK Neftchi Farg'ona	Yuriy Sarkisyan Category:Articles with hCards	Aziz Alijonov Category:Articles with hCards	Adidas	UzbekNefteGaz	26.17
FK Samarqand-Dinamo	Viktor Djalilov Category:Articles with hCards	Denis Romanenco Category:Articles with hCards	Adidas	Unsponsored	26.94
Lokomotiv Tashkent	Tachmurad Agamuradov Category:Articles with hCards	Aleksandr Filimonov Category:Articles with hCards	Puma	O'zbekiston Temir Yollari	25.46
Mash'al Mubarek	Vladimir Fomichev Category:Articles with hCards	Fozil Musaev Category:Articles with hCards	Adidas	UzbekNefteGaz	24.60
Metalourg Bekabad	Rustam Mirsodiqov Category:Articles with hCards	Odil Isaboyev Category:Articles with hCards	Adidas	UzMK	28.24
Nasaf Qarshi	Anatoliy Demyanenko Category:Articles with hCards	Hayrulla Karimov Category:Articles with hCards	Puma	Sho'rtan Gaz Mahsulot	27.09
Qizilqum Zarafshon	Sergei Arslanov Category:Articles with hCards	Shavkat Nasibullaev Category:Articles with hCards	Adidas	NGMK	27.19
