Team	2002 Position	2003 Position	Total Position	Qualification
Dalian Shide	0.5	3.0	3.5	Entry to the 2004 Chinese Super League
Shenzhen Jianlibao	1.0	4.0	5.0	Entry to the 2004 Chinese Super League
Shanghai International	4.5	2.0	6.5	Entry to the 2004 Chinese Super League
Shanghai Shenhua	6.0	1.0	7.0	Entry to the 2004 Chinese Super League
Liaoning Zhongshun	2.5	6.0	8.5	Entry to the 2004 Chinese Super League
Beijing Hyundai Cars	1.5	9.0	10.5	Entry to the 2004 Chinese Super League
Shenyang Ginde	5.5	5.0	10.5	Entry to the 2004 Chinese Super League
Yunnan Hongta	3.5	7.0	10.5	Entry to the 2004 Chinese Super League
Shandong Luneng	2.0	12.0	14.0	Entry to the 2004 Chinese Super League
Qingdao Beilaite	4.0	11.0	15.0	Entry to the 2004 Chinese Super League
Sichuan Guancheng	7.0	8.0	15.0	Entry to the 2004 Chinese Super League
Tianjin Kangshifu	5.0	10.0	15.0	Entry to the 2004 Chinese Super League
Chongqing Lifan	3.0	13.0	16.0	Relegated to the Jia League
August 1st	6.5	14.0	20.5	Relegated to the Jia League
Shaanxi Guoli	7.5	15.0	22.5	Relegated to the Jia League
