Week	Date	Opponent	Result	Lions' Points	Opponents' Points	Record	Streak	Attendance
1	09/09/01	at Green Bay Packers	L	6	28	0-1	L-1	59,523
2	09/23/01	at Cleveland Browns	L	14	24	0-2	L-2	73,168
3	Bye	Bye	Bye	Bye	Bye	Bye	Bye	Bye
4	10/08/01	St. Louis Rams	L	0	35	0-3	L-3	77,765
5	10/14/01	at Minnesota Vikings	L	26	31	0-4	L-4	64,048
6	10/21/01	Tennessee Titans	L	24	27	0-5	L-5	76,940
7	10/28/01	Cincinnati Bengals	L	27	31	0-6	L-6	69,343
8	11/04/01	at San Francisco 49ers	L	13	21	0-7	L-7	67,605
9	11/11/01	Tampa Bay Buccaneers	L	17	20	0-8	L-8	74,268
10	11/18/01	at Arizona Cardinals	L	38	45	0-9	L-9	32,332
11	11/22/01	Green Bay Packers	L	27	29	0-10	L-10	77,730
12	12/02/01	at Chicago Bears	L	10	13	0-11	L-11	66,944
13	12/09/01	at Tampa Bay Buccaneers	L	12	15	0-12	L-12	65,514
14	12/16/01	Minnesota Vikings	W	27	24	1-12	W-1	72,190
15	12/23/01	at Pittsburgh Steelers	L	14	47	1-13	L-1	62,809
16	12/30/01	Chicago Bears	L	0	21	1-14	L-2	76,067
17	01/06/02	Dallas Cowboys	W	15	10	2-14	W-1	77,512
