Year	Chassis	Engine	Start	Finish	Team
1985	Lola	Cosworth	20th	7th	Bettenhausen
1986	Lola	Cosworth	19th	15th	Bettenhausen
1987	March	Cosworth	7th	18th	Hemelgarn
1988	Lola	Cosworth	6th	10th	Simon
1989	Lola	Cosworth	15th	21st	Simon
1990	Lola	Chevrolet	3rd	1st	Shierson
1991	Lola	Chevrolet	14th	3rd	Granatelli
1992	Lola	Ford-Cosworth	4th	15th	Ganassi
1993	Lola	Ford-Cosworth	1st	2nd	Ganassi
1994	Lola	Ilmor	8th	18th	Indy Regency
1995	Lola	Menard - Buick	2nd	7th	Team Menard
1996	Reynard	Ford-Cosworth	20th	16th	Treadway
1997	G-Force	Comptech Oldsmobile	1st	1st	Treadway
1998	G-Force	Comptech Oldsmobile	28th	20th	Treadway
1999	G-Force	Comptech Oldsmobile	1st	22nd	Treadway
2000	Did not enter	Did not enter	Did not enter	Did not enter	Did not enter
2001	G-Force	Comptech Oldsmobile	6th	13th	Treadway
2002	G-Force	Chevrolet	24th	14th	Treadway
2003	G-Force	Toyota	driven by Alex Barron	driven by Alex Barron	Mo Nunn
