Round	Pick	Player	Position	School/Club Team
1	11	Walt Schlinkman	Fullback	Texas Tech
3	27	Clyde Goodnight	End	Tulsa
5	43	Joe Graham	End	Florida
6	54	Don Wells	Defensive End	Georgia
7	65	Casey Stephenson	Back	Tennessee
8	76	Toby Collins	Tackle	Tulsa
9	87	Lamar Dingler	End	Arkansas
10	98	Hal Helscher	Back	LSU
11	109	Ralph Hammond	Center	Pittsburgh
12	120	Ed Podgorski	Tackle	Lafayette
13	131	Bill Hackett	Guard	Ohio State
14	142	Marv Lindsey	Back	Arkansas
15	153	Robert McClure	Tackle	Nevada
16	164	Harry Pieper	Center	California
17	175	Bob Kula	Back	Minnesota
18	186	Frank Hazard	Guard	Nebraska
19	197	Ed Jeffers	Tackle	Oklahoma State
20	208	Bill Prentice	Back	Santa Clara
21	219	Warren Fuller	End	Fordham
22	230	Fred Neilsen	Tackle	St. Mary's (CA)
23	241	Bob Gilmore	Back	Washington
24	252	Lloyd Baxter	Center	SMU
25	263	Nolan Luhn	Wide Receiver	Tulsa
26	274	Nestor Blanco	Guard	Colorado Mines
27	285	Bill Chestnut	Back	Kansas
28	296	Jim Thompson	Back	Washington State
29	307	Jim Evans	End	Idaho
30	318	Hamilton Nichols	Guard	Rice
31	324	John Priday	Back	Ohio State
32	330	Bill Joe Aldridge	Back	Oklahoma State
