Goal	Date	Venue	Score	Result	Competition
1	21 August 2007	Ambedkar Stadium , New Delhi, India	3–1	4–1	2007 Nehru Cup
2	25 August 2007	Ambedkar Stadium , New Delhi, India	1–0	5–1	2007 Nehru Cup
3	8 October 2007	Abbasiyyin Stadium , Damascus, Syria	1–0	3–0	2010 FIFA World Cup qualification
4	8 October 2007	Abbasiyyin Stadium , Damascus, Syria	3–0	3–0	2010 FIFA World Cup qualification
5	9 November 2007	Bung Karno Stadium , Jakarta, Indonesia	2–0	4–1	2010 FIFA World Cup qualification
6	13 November 2008	Home's Stadium Kobe , Kobe, Japan	1–3	1–3	International Friendly
7	29 December 2008	Bahrain National Stadium , Manama, Bahrain	2–1	2–2	International Friendly
8	5 June 2009	Abbasiyyin Stadium , Damascus, Syria	2–0	6–0	Friendly/Non FIFA 'A' international match
9	5 June 2009	Abbasiyyin Stadium , Damascus, Syria	3–0	6–0	Friendly/Non FIFA 'A' international match
10	27 June 2009	Saputo Stadium , Montreal, Canada	1–0	2–1	International Friendly
11	20 August 2009	Ambedkar Stadium , New Delhi, India	1–0	2–0	2009 Nehru Cup
12	24 August 2009	Ambedkar Stadium , New Delhi, India	1–0	4–0	2009 Nehru Cup
13	27 August 2009	Ambedkar Stadium , New Delhi, India	1–0	1–0	2009 Nehru Cup
14	3 March 2010	Abbasiyyin Stadium , Damascus, Syria	1–0	4–0	2011 AFC Asian Cup qualification
15	24 September 2010	King Abdullah Stadium , Amman, Jordan	1–1	1–1	2010 WAFF Championship
16	14 November 2010	Bahrain National Stadium , Manama, Bahrain	1–0	2–0	International Friendly
17	17 January 2011	Qatar SC Stadium , Doha, Qatar	1–0	1–2	2011 AFC Asian Cup
