Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1984	Morten Frost	Zheng Yuli	Thomas Kihlström Stefan Karlsson	Karen Beckman Gillian Gilks	Martin Dew Gillian Gilks
1985	Zhao Jianhua	Wu Jianqui	Park Joo-bong Kim Moon-soo	Kim Yun-ja Yoo Sang-hee	Billy Gilliland Gillian Gowers
1986	Yang Yang	Li Lingwei	Razif Sidek Jalani Sidek	Wu Dixi Lin Ying	Billy Gilliland Nora Perry
1987	Xiong Guobao	Li Lingwei	Liem Swie King Eddy Hartono	Lin Ying Guan Weizhen	Lee Deuk-choon Chung Myung-hee
1988	Nick Yates	Han Aiping	Tian Bingyi Li Yongbo	Chung Myung-hee Chung So-young	Park Joo-bong Chung Myung-hee
1989	Yang Yang	Li Lingwei	Park Joo-bong Lee Sang-bok	Gillian Clark Julie Munday	Park Joo-bong Chung Myung-hee
1990	Morten Frost	Huang Hua	Park Joo-bong Kim Moon-soo	Yao Fen Lai Caiqin	Park Joo-bong Chung Myung-hee
1991	Ardy Wiranata	Huang Hua	Park Joo-bong Kim Moon-soo	Gillian Clark Gillian Gowers	Park Joo-bong Chung Myung-hee
1992	Ardy Wiranata	Susi Susanti	Chen Kang Chen Hongyong	Chung So-young Hwang Hye-young	Thomas Lund Pernille Dupont
1993	Heryanto Arbi	Ye Zhaoying	Chen Kang Chen Hongyong	Chung So-young Gil Young-ah	Thomas Lund Catrine Bengtsson
1994	Ardy Wiranata	Susi Susanti	Ricky Subagja Denny Kantono	Chung So-young Gil Young-ah	Jon Holst-Christensen Catrine Bengtsson
1995	Heryanto Arbi	Susi Susanti	Ricky Subagja Rexy Mainaky	Ge Fei Gu Jun	Thomas Lund Marlene Thomsen
1996	Joko Suprianto	Ye Zhaoying	Ricky Subagja Rexy Mainaky	Gil Young-ah Jang Hye-ock	Park Joo-bong Ra Kyung-min
1997	Peter Rasmussen	Mia Audina Tjiptawan	Ricky Subagja Rexy Mainaky	Ge Fei Gu Jun	Liu Yong Ge Fei
1998	Peter Gade	Gong Zhichao	Cheah Soon Kit Yap Kim Hock	Ge Fei Gu Jun	Kim Dong-moon Ra Kyung-min
1999	Peter Gade	Ye Zhaoying	Ha Tae-kwon Kim Dong-moon	Ge Fei Gu Jun	Liu Yong Ge Fei
2000	Ji Xinpeng	Gong Zhichao	Candra Wijaya Tony Gunawan	Ra Kyung-min Chung Jae-hee	Liu Yong Ge Fei
2001	Roslin Hashim	Zhou Mi	Candra Wijaya Sigit Budiarto	Gao Ling Huang Sui	Bambang Suprianto Minarti Timur
2002	Lee Hyun-il	Zhou Mi	Chan Chong Ming Chew Choon Eng	Ra Kyung-min Lee Kyung-won	Kim Dong-moon Ra Kyung-min
2003	Xia Xuanze	Camilla Martin	Flandy Limpele Eng Hian	Gao Ling Huang Sui	Zhang Jun Gao Ling
2004	Ronald Susilo	Mia Audina Tjiptawan	Ha Tae-kwon Kim Dong-moon	Ra Kyung-min Lee Kyung-won	Nova Widianto Vita Marissa
2005	Lin Dan	Zhang Ning	Jens Eriksen Martin Lundgaard Hansen	Yang Wei Zhang Jiewen	Sudket Prapakamol Saralee Thungthongkam
2006	Lin Dan	Zhang Ning	Candra Wijaya Tony Gunawan	Gao Ling Huang Sui	Flandy Limpele Vita Marissa
2007	Lee Chong Wei	Tine Rasmussen	Candra Wijaya Tony Gunawan	Yang Wei Zhang Jiewen	Zheng Bo Gao Ling
2008	Sony Dwi Kuncoro	Wang Yihan	Lars Paaske Jonas Rasmussen	Cheng Shu Zhao Yunlei	Muhammad Rijal Vita Marissa
2009	Bao Chunlai	Wang Yihan	Markis Kido Hendra Setiawan	Ma Jin Wang Xiaoli	Songphon Anugritayawon Kunchala Voravichitchaikul
2010	Lee Chong Wei	Jiang Yanjiao	Cai Yun Fu Haifeng	Wang Xiaoli Yu Yang	Zhang Nan Zhao Yunlei
2011	Chen Long	Wang Yihan	Cai Yun Fu Haifeng	Bao Yixin Zhong Qianxin	Chen Hung-ling Cheng Wen-hsing
2012	Lee Chong Wei	Tai Tzu-Ying	Kim Sa-rang Kim Ki-jung	Tse Ying Suet Poon Lok Yan	Chan Peng Soon Goh Liu Ying
2013	Lee Chong Wei	Akane Yamaguchi	Muhammad Ahsan Hendra Setiawan	Ma Jin Tang Jinhua	Zhang Nan Zhao Yunlei
