Place	Player	Country	Score	To par
1	Greg Norman	Australia	71-68=139	–1
T2	Lee Trevino	United States	74-68=142	+2
T2	Denis Watson	Zimbabwe	72-70=142	+2
T4	Raymond Floyd	United States	75-68=143	+3
T4	Bob Tway	United States	70-73=143	+3
T4	Tom Watson	United States	72-71=143	+3
T7	David Frost	South Africa	72-72=144	+4
T7	Bernhard Langer	West Germany	74-70=144	+4
T7	Tsuneyuki Nakajima	Japan	72-72=144	+4
T7	Mac O'Grady	United States	75-69=144	+4
T7	Payne Stewart	United States	76-68=144	+4
T7	Bobby Wadkins	United States	75-69=144	+4
T7	Lanny Wadkins	United States	74-70=144	+4
