Race Title	Circuit	Location / State	Date	Winner	Team
Sandown	Sandown International Motor Raceway	Melbourne , Victoria	30 Jan - 1 Feb	Craig Lowndes	Holden Racing Team
Launceston	Symmons Plains International Raceway	Launceston , Tasmania	6 - 8 Feb	Craig Lowndes	Holden Racing Team
Lakeside	Lakeside International Raceway	Brisbane , Queensland	27 - 29 Mar	Russell Ingall	Castrol Perkins Motorsport
Phillip Island	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	17 - 19 Apr	Craig Lowndes	Holden Racing Team
Winton	Winton Motor Raceway	Benalla , Victoria	1–3 May	John Bowe	Dick Johnson Racing
Mallala	Mallala Motor Sport Park	Mallala , South Australia	22–24 May	Russell Ingall	Castrol Perkins Motorsport
VB 300	Barbagallo Raceway	Perth , Western Australia	29–31 May	Craig Lowndes	Holden Racing Team
Calder	Calder Park Raceway	Melbourne , Victoria	19 - 21 Jun	Craig Lowndes	Holden Racing Team
Hidden Valley	Hidden Valley Raceway	Darwin , Northern Territory	17 - 19 Jul	Russell Ingall	Castrol Perkins Motorsport
Oran Park	Oran Park International Raceway	Sydney , New South Wales	31 Jul - 2 Aug	Craig Lowndes	Holden Racing Team
