Model	Length Over All	Beam	Sail Area	Crew	Comments
14sq	4.5m	2.44	14m²	1	Daggerboards
4.5	4.50 m	2.44 m	17.5 m²	1-2	Skegs
460	4.50 m	2.35 m	15.2 m²	1-2	Skegs
Blast	4.80 m	2.45 m	15.6 m²	1-2	Skegs. Design: Alain Comyn
16sq	5.0m	2.5m	16 m²	1	Daggerboards
5.0	5.0 m	2.44 m	19 m²	2	Skegs. Design: Roy Seaman
500	5.0 m	2.44 m	17.6 m²	1-2	Skegs
5.2	5.2 m	2.44 m	20.43 m²	2	Daggerboards
F17	5.20 m	2.44 m	15.25 m²	1	Daggerboards
Nacra 17	5.25 m	2.59 m	18.25 m²	2	curved Daggerboards. Design: Morelli und Melvin
18sq	5.48m	3.35 m	18m²	1	Daggerboards
F18 Inter 18	5.52 m	2.6 m	20.45 / 21.15 m²	2	F18 class boat. Design: Morelli und Melvin
F18 Inter 2	5.52 m	2.6 m	20.45 / 21.15 m²	2	F18 class boat. Design: Alain Comyn
F18 Infusion	5.52 m	2.6 m	20.45 / 21.15 m²	2	F18 class boat. Design: Morelli und Melvin
5.7	5.67 m	2.44 m	21.3 m²	2	Skegs
570	5.65 m	2.44 m	21.1 m²	2	Skegs
5.8	5.8 m	2.5 m	22.8 m²	2	Daggerboards. Design: Roy Seaman
580	5.8 m	2.44 m	22.1 m²	2	Daggerboards
6.0	6.10 m	2.59 m	24.5 m²	2	Daggerboards
N20	6.12 m	2.6 m	20.45 / 24.9 m²	2	Formula 20 class boat
