Urban settlement	Cyrillic Name	City / municipality	District	Population (1991)	Population (2002)	Population (2011)
Bač	Бач	Bač	South Bačka	6046	6087	5399
Bačka Palanka	Бачка Паланка	Bačka Palanka	South Bačka	26780	29449	28239
Bački Jarak	Бачки Јарак	Temerin	South Bačka	5426	6049	5687
Bački Petrovac	Бачки Петровац	Bački Petrovac	South Bačka	7236	6727	6155
Bečej	Бечеј	Bečej	South Bačka	26634	25774	23895
Beočin	Беочин	Beočin	South Bačka	7873	8058	7839
Futog	Футог	Novi Sad	South Bačka	16048	18582	18641
Novi Sad	Нови Сад	Novi Sad	South Bačka	179626	191405	250439
Petrovaradin	Петроварадин	Petrovaradin , Novi Sad	South Bačka	11285	13973	14810
Srbobran	Србобран	Srbobran	South Bačka	12798	13091	12009
Sremska Kamenica	Сремска Каменица	Petrovaradin , Novi Sad	South Bačka	7955	11205	12273
Sremski Karlovci	Сремски Карловци	Sremski Karlovci	South Bačka	7534	8839	8750
Temerin	Темерин	Temerin	South Bačka	16971	19216	19661
Titel	Тител	Titel	South Bačka	6007	5894	5294
Vrbas	Врбас	Vrbas	South Bačka	25858	25907	24112
