Rank	Time	Athlete	Nation	Date	Race
1	26:44	Leonard Patrick Komon	Kenya	26 September 2010	Singelloop Utrecht
2	27:01	Micah Kipkemboi Kogo	Kenya	29 March 2009	Parelloop Brunssum
3	27:02	Haile Gebrselassie	Ethiopia	11 December 2002	Doha , Qatar
4=	27:04	Joseph Kimani	Kenya	4 July 1996	Peachtree Road Race
4=	27:04	Josphat Kiprono Menjo	Kenya	18 April 2010	Cursa de Bombers
6	27:09	Peter Kamais Lotagor	Kenya	6 September 2009	Tilburg 10K
7=	27:11	Sammy Kipketer	Kenya	30 March 2002	Crescent City Classic
7=	27:11	Sammy Kirop Kitwara	Kenya	26 September 2010	Singelloop Utrecht
9=	27:19	Moses Ndiema Masai	Kenya	28 February 2010	World's Best 10K
9=	27:19	Geoffrey Kiprono Mutai	Kenya	26 June 2011	Boston 10K
