NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
7301	Barred spiral galaxy	Aquarius	22h30m34.8s	°34′25″
7302	Elliptical galaxy	Aquarius	22h32m23.9s	°07′15″
7303	Spiral galaxy	Pegasus	22h31m33.0s	°57′24″
7314	Spiral galaxy	Piscis Austrinus	22h35m46.1s	°03′02″
7315	Lenticular galaxy	Pegasus	22h35m31.9s	°48′11″
7318	Interacting galaxies	Pegasus	22h35m58.4s	°57′57″
7318a	Interacting galaxy	Pegasus	22h35m56.9s	°57′54″
7318b	Interacting galaxy	Pegasus	22h35m58.5s	°57′55″
7319	Interacting galaxy	Pegasus	22h36m03.7s	°58′31″
7320	Spiral galaxy	Pegasus	22h36m03.6s	°56′53″
7320c	Spiral galaxy	Pegasus	22h36m20.3s	°59′07″
7331	Spiral galaxy	Pegasus	22h37m04.3s	°24′59″
7335	Lenticular galaxy	Pegasus	22h37m19.5s	°26′50″
7337	Spiral galaxy	Pegasus	22h37m26.8s	°22′26″
7340	Elliptical galaxy	Pegasus	22h37m44.2s	°24′36″
7343	Spiral galaxy	Pegasus	22h38m38.0s	°04′17″
7354	Planetary nebula	Cepheus	22h40m19.9s	°17′08″
7380	Open cluster	Cepheus	22h47m	°07′
