-	Average population (x 1000)	Live births	Deaths	Natural change	Crude birth rate (per 1000)	Crude death rate (per 1000)	Natural change (per 1000)
1983	269	6 168	1 514	4 654	22.9	5.6	17.3
1984	283	6 666	1 488	5 178	23.6	5.3	18.3
1985	290	7 560	1 466	6 094	26.1	5.1	21.0
1986	296	7 477	1 324	6 153	25.3	4.5	20.8
1987	307	7 565	1 321	6 244	24.7	4.3	20.3
1988	316	7 913	1 437	6 476	25.0	4.5	20.5
1989	325	7 568	1 516	6 052	23.3	4.7	18.6
1990	335	6 872	1 482	5 390	20.5	4.4	16.1
1991	352	6 832	1 335	5 497	19.4	3.8	15.6
1992	371	6 676	1 432	5 244	18.0	3.9	14.1
1993	384	6 267	1 531	4 736	16.3	4.0	12.3
1994	397	6 115	1 330	4 785	15.4	3.4	12.1
1995	409	5 876	1 351	4 525	14.4	3.3	11.1
1996	415	5 468	1 413	4 055	13.2	3.4	9.8
1997	417	5 031	1 293	3 738	12.1	3.1	9.0
1998	422	4 434	1 356	3 078	10.5	3.2	7.3
1999	427	4 148	1 374	2 774	9.7	3.2	6.5
2000	431	3 849	1 338	2 511	8.9	3.1	5.8
2001	434	3 241	1 327	1 914	7.5	3.1	4.4
2002	438	3 162	1 415	1 747	7.2	3.2	4.0
2003	444	3 212	1 474	1 738	7.2	3.3	3.9
2004	455	3 308	1 533	1 775	7.3	3.4	3.9
2005	473	3 671	1 615	2 056	7.8	3.4	4.3
2006	499	4 058	1 566	2 492	8.1	3.1	5.0
2007	526	4 537	1 545	2 992	8.6	2.9	5.7
2008	544	4 717	1 756	2 961	8.7	3.2	5.4
2009	546	4 764	1 644	3 120	8.7	3.0	5.7
2010	547	5 114	1 774	3 340	9.3	3.2	6.1
