Web client accelerator	Operating system	Browser	Client	Connection
CACHEbox	Appliance (Linux)	All	End user, ISP	Broadband, Satellite, Wireless, Fiber, DSL
CProxy	Windows	All	user	up to 756kbit/s
Fasterfox	Windows, Mac, Linux and Mobile devices	Firefox	user	Dialup, Wireless, Broadband, DSL
fasTun	Any	Any	All	Any
Freewire	Windows, except NT and 95	Internet Explorer 5.0 or higher	ISP	Dial-up
Google Web Accelerator (discontinued)	Windows	Explorer, Firefox	user/Google server	Broadband
Heigh Speed	Windows	Any	All	Any
Netfury	Windows, Mac	Explorer, Firefox, Opera, Netscape	End User, ISP	Dial-up, Broadband, DSL, ISDN, Satellite, Wireless
Nitro	Windows, Mac	Explorer, Firefox, Opera, Netscape	End User, ISP	Dial-up, Broadband, DSL, ISDN, Satellite, Wireless
ONSPEED	Windows, Mac and Mobile devices	Any	user	Dialup, Wireless, Broadband, DSL
Opera Turbo	Android, Linux, Mac and Windows devices	Opera	user/Opera server	Any
Polipo	Unix (Linux, *BSD, Mac OS X, others), Windows	Any	user/ISP	Any
Propel	Windows, Mac	Explorer, Firefox, Opera, Netscape	End User, ISP	Dial, DSL, ISDN, Satellite, wireless
Proxyconn Web Accelerator	Windows, Mac, Mobile devices	Any	user	Dialup, Wireless, Broadband, DSL
RabbIT	Any system with Java 1.6 VM available	Any	ISP	Any
Squid	Unix (Linux, *BSD, Mac OS X, others), Windows	Any	user/ISP	Any
Toonel	Windows, Linux, Mac OS, Symbian, WindowsMobile	Any	user/ISP	Any
WinGate	Windows (2000 onwards)	Any	All	Any
Ziproxy	Unix (Linux, *BSD, Mac OS X, others)	Any	ISP	Any
