Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 26, 1954	Los Angeles Rams	L 0–48	0–1	Memorial Stadium	36,215
2	October 2, 1954	New York Giants	W 20–14	1–1	Memorial Stadium	27,088
3	October 10, 1954	at Chicago Bears	L 9–28	1–2	Wrigley Field	27,845
4	October 16, 1954	at Detroit Lions	L 0–35	1–3	Tiger Stadium	48,272
5	October 24, 1954	Green Bay Packers	L 6–7	1–4	Memorial Stadium	28,680
6	October 31, 1954	at Washington Redskins	L 21–24	1–5	Griffith Stadium	23,566
7	November 6, 1954	Detroit Lions	L 3–27	1–6	Memorial Stadium	25,287
8	November 13, 1954	at Green Bay Packers	L 13–24	1–7	Milwaukee County Stadium	19,786
9	November 21, 1954	Chicago Bears	L 13–28	1–8	Memorial Stadium	23,093
10	November 28, 1954	San Francisco 49ers	W 17–13	2–8	Memorial Stadium	23,875
11	December 4, 1954	at Los Angeles Rams	W 22–21	3–8	Los Angeles Memorial Coliseum	30,744
12	December 11, 1954	at San Francisco 49ers	L 7–10	3–9	Kezar Stadium	26,856
