O O = Corresponds to the official order as listed by Institut National de lAudiovisuel (INA) and AnimezVous.com.	B B = Corresponds to TF1s broadcast schedule.	Title (French) / (English)	Original Beechwood Bunny Tale / Source material	Air date (France)
5/1	5/1	"L'exploit de Tante Zinia" "Born to Be Bunnies"	L'exploit de tante Zinia	22September2004
7/3	6/2	"Les beignets flambés" "Firemen or Firewomen"	Les beignets flambés	29September2004
8/4	17/13	"Noël chez les Passiflore" "A Christmas Tail"	Le Noël des Passiflore	25December2004
10/6	9/5	"L'invention d'Onésime" "Papa Bramble's Invention"	L'invention d'Onésime Passiflore	20October2004
12/8	12/8	"En avant la musique" "Face the Music"	En avant la musique!	17November2004
15/11	13/9	"La clé du bonheur" "The Key to Happiness"	Teleplay by Valérie Baranski	24November2004
18/14	22/18	"Au pays des fantômes" "Weird Country"	Teleplay by Valérie Baranski	26January2005
19/15	21/17	"Dentdelion fait son cinéma" "The Silver Screen"	Teleplay by Valérie Baranski	19January2005
21/17	18/14	"Le pacte du lac" "The Monster of Blueberry Lake"	Teleplay by Valérie Baranski	29December2004
22/18	16/12	"Le secret d'Onésime" "Papa Bramble's Secret"	Teleplay by Valérie Baranski	15December2004
23/19	19/15	"Vive les vacances" "Holiday with Love"	Teleplay by Valérie Baranski	5January2005
24/20	20/16	"Chez les petits savants" "At the Science Academy"	Teleplay by Valérie Baranski	12January2005
25/21	24/20	"Au cœur de la source" "The Heart of the Spring"	Teleplay by Valérie Baranski	9February2005
