Place	Player	Country	Score	To par	Money ( $ )
1	Geoff Ogilvy	Australia	71-70-72-72=285	+5	1,225,000
T2	Jim Furyk	United States	70-72-74-70=286	+6	501,249
T2	Phil Mickelson	United States	70-73-69-74=286	+6	501,249
T2	Colin Montgomerie	Scotland	69-71-75-71=286	+6	501,249
5	Pádraig Harrington	Ireland	73-69-74-71=287	+7	255,642
T6	Kenneth Ferrie	England	71-70-71-76=288	+8	183,255
T6	Nick O'Hern	Australia	75-70-74-69=288	+8	183,255
T6	Vijay Singh	Fiji	71-74-70-73=288	+8	183,255
T6	Jeff Sluman	United States	74-73-72-69=288	+8	183,255
T6	Steve Stricker	United States	70-69-76-73=288	+8	183,255
T6	Mike Weir	Canada	71-74-71-72=288	+8	183,255
