Outcome	Year	Championship	Surface	Partner	Opponents in the final	Score in the final
Winner	1972	French Open	Clay	Billie Jean King	Winnie Shaw Nell Truman	6–1, 6–2
Winner	1972	Wimbledon	Grass	Billie Jean King	Françoise Dürr Judy Tegart Dalton	6–2, 4–6, 6–3
Winner	1972	US Open	Grass	Françoise Dürr	Margaret Court Virginia Wade	6–3, 1–6, 6–3
Runner-up	1973	French Open	Clay	Françoise Dürr	Margaret Court Virginia Wade	6–2, 6–3
Runner-up	1973	Wimbledon	Grass	Françoise Dürr	Rosie Casals Billie Jean King	6–1, 4–6, 7–5
Runner-up	1974	US Open	Grass	Françoise Dürr	Rosie Casals Billie Jean King	7–6, 6–7, 6–4
Runner-up	1975	Wimbledon	Grass	Françoise Dürr	Ann Kiyomura Kazuko Sawamatsu	7–5, 1–6, 7–5
Runner-up	1976	Wimbledon	Grass	Billie Jean King	Chris Evert Martina Navratilova	6–1, 3–6, 7–5
Runner-up	1977	Wimbledon	Grass	Martina Navratilova	Helen Gourlay JoAnne Russell	6–3, 6–3
Winner	1977	US Open (2)	Clay	Martina Navratilova	Renée Richards Betty-Ann Stuart	6–1, 7–6
Winner	1979	French Open (2)	Clay	Wendy Turnbull	Françoise Dürr Virginia Wade	3–6, 7–5, 6–4
Runner-up	1979	Wimbledon	Grass	Wendy Turnbull	Billie Jean King Martina Navratilova	5–7, 6–3, 6–2
Winner	1979	US Open (3)	Hard	Wendy Turnbull	Billie Jean King Martina Navratilova	6–4, 6–3
