Network	Origin of Programming	Language	Genre	Service
AAG TV	Pakistan	Urdu	Music	Dish
Aaj Tak	India	Hindi	News	Dish
Aaj Tak	India	Hindi	News	DishWorld
AAJ	Pakistan	Urdu	News	Dish
Aapka Colors	India	Hindi	General	AT&T U-verse
Aapka Colors	India	Hindi	General	Dish
Aapka Colors	India	Hindi	General	DishWorld
Aapka Colors	India	Hindi	General	RCN
Aastha	India	Hindi	Religious	Dish
Aastha	India	Hindi	Religious	DishWorld
Aastha Bhajan	India	Hindi	Religious	Dish
ABP News	India	Hindi	News	DirecTV
ABP News	India	Hindi	News	Time Warner Cable
ABP News	India	Hindi	News	Xfinity
Adithya TV	India	Tamil	General	Dish
Adithya TV	India	Tamil	General	DishWorld
Alpha ETC Punjabi	India	Punjabi	General	Dish
Alpha ETC Punjabi	India	Punjabi	General	DishWorld
ARY Digital	Pakistan	Urdu	General	Dish
ARY Digital	Pakistan	Urdu	General	DishWorld
ARY Musik	Pakistan	Urdu	Music	Dish
ARY News	Pakistan	Urdu	News	Dish
ARY News	Pakistan	Urdu	News	DishWorld
ARY QTV	Pakistan	Urdu	Religious	Dish
ARY QTV	Pakistan	Urdu	Religious	DishWorld
ARY Zauq	Pakistan	Urdu	Food	Dish
ARY Zauq	Pakistan	Urdu	Food	DishWorld
Asianet	India	Malayalam	General	Dish
Asianet	India	Malayalam	General	DishWorld
Asianet Movies	India	Malayalam	Movies	Dish
Asianet Movies	India	Malayalam	Movies	DishWorld
Asianet News	India	Malayalam	News	Dish
Asianet News	India	Malayalam	News	DishWorld
Asianet Plus	India	Malayalam	General	Dish
Asianet Plus	India	Malayalam	General	DishWorld
ATN Bangla	Bangladesh	Bengali	General	Dish
ATN Bangla	Bangladesh	Bengali	General	DishWorld
B4U Movies	India	Hindi	Movies	Dish
B4U Movies	India	Hindi	Movies	DishWorld
B4U Music	India	Hindi	Music	Dish
B4U Music	India	Hindi	Music	DishWorld
Banglavision	Bangladesh	Bengali	General	Dish
Big Magic	India	Hindi	General	Dish
Big Magic	India	Hindi	General	DishWorld
Channel i	Bangladesh	Bengali	General	Dish
Channel i	Bangladesh	Bengali	General	DishWorld
Cine Bangla	Bangladesh	Bengali	Movies	Dish
Disha	India	Hindi	Religious	DirecTV
Dunya	Pakistan	Urdu	News	Dish
Dunya	Pakistan	Urdu	News	DishWorld
ETV Bangla	India	Bengali	General	Dish
ETV Bangla	India	Bengali	General	DishWorld
