Name	Height	Weight	Spike	2008 club
Melinda Hanaoui Category:Articles with hCards	m ()	kg (lb)	cm (in)	Istres Volleyball
Sérine Hanaoui Category:Articles with hCards	m ()	kg (lb)	cm (in)	Istres Volleyball
Saleha Benhamouda Category:Articles with hCards	m ()	kg (lb)	cm (in)	MC Algiers
Raouia Rouabhia Category:Articles with hCards	m ()	kg (lb)	cm (in)	Venelle
Narimène Madani Category:Articles with hCards	m ()	kg (lb)	cm (in)	NC Bejaia
Fatma-Zohra Oukazi Category:Articles with hCards	m ()	kg (lb)	cm (in)	MC Algiers
Mouni Abderrahim Category:Articles with hCards	m ()	kg (lb)	cm (in)	ASWB
Safia Boukhima Category:Articles with hCards	m ()	kg (lb)	cm (in)	ASWB
Nawel Mansouri Category:Articles with hCards	m ()	kg (lb)	cm (in)	NC Bejaia
Faïza Tsabet Category:Articles with hCards	m ()	kg (lb)	cm (in)	Istres Volleyball
Lydia Oulmou Category:Articles with hCards	m ()	kg (lb)	cm (in)	Istres Volleyball
Tassadit Aïssou Category:Articles with hCards	m ()	kg (lb)	cm (in)	ASWB
