Island's Name	Area (sq mi)	Area (km 2 )	Location	Population (2000)
Heceta Island	70	181	Alaska	14
Niihau	70	180	Hawaii	160
Saipan	69	180	Northern Mariana Islands	62,392
Tugidak Island	69	180	Alaska	0
Hawkins Island	67	175	Alaska	4
Yunaska Island	67	172	Alaska	0
Sitkinak Island	65	169	Alaska	0
Akun Island	65	168	Alaska	0
Shuyak Island	65	168	Alaska	0
Chuginadak Island	65	167	Alaska	0
Sukkwan Island	65	167	Alaska	9
Galveston Island	64	166	Texas	58,175
Matagorda Island	61	157	Texas	0
Great Sitkin Island	60	156	Alaska	0
Staten Island	59	153	New York	443,728
Deer Island	58	152	Alaska	0
Duke Island	57	149	Alaska	-1 ?
Orcas Island	57	148	Washington	4,453
Cumberland Island	57	147	Georgia	0
San Clemente Island	57	147	California	0
Uganik Island	57	147	Alaska	0
Stuart Island	56	145	Alaska	0
Hilton Head Island	55	144	South Carolina	33,862
Beaver Island	55	144	Michigan	551
San Juan Island	55	143	Washington	6,822
Suemez Island	52	135	Alaska	0
Tutuila	52	135	American Samoa	55,876
Esther Island	52	133	Alaska	31
Vieques	51	132	Puerto Rico	9,106
Sanak Island	50	128	Alaska	0
Sugar Island	49	128	Michigan	652
Bois Blanc Island	49	127	Michigan	71
Nantucket	48	124	Massachusetts	9,520
Kagalaska Island	45	116	Alaska	0
Kaho ʻ olawe	45	116	Hawaii	0
Long Island	45	115	Alaska	0
Chirikof Island	44	115	Alaska	0
Wadmalaw Island	42	109	South Carolina	2,611
Antelope Island	42	109	Utah	0
Dolgoi Island	41	107	Alaska	0
Fidalgo Island	41	107	Washington	20,700
Baker Island	41	105	Alaska	-1 ?
Camano Island	40	105	Washington	13,358
Saint Paul Island	40	104	Alaska	532
Sedanka Island	40	103	Alaska	0
Tinian	39	102	Northern Mariana Islands	3,540
Aquidneck Island/Rhode Island	38	98	Rhode Island	60,870
Vashon Island	37	96	Washington	10,123
Tigalda Island	35	91	Alaska	0
Saint George Island	35	90	Alaska	100
Catherine Island	34	87	Alaska	0
Hatteras Island	34	86	North Carolina	4,001
Sauvie Island	33	85	Oregon	1,078
Grand Isle	32	82	Vermont	3,651
Kent Island	32	82	Maryland	16,812
Pine Island	32	82	Florida	8,235
Saint Thomas	31	81	U.S. Virgin Islands	51,181
Coronation Island	30	78	Alaska	0
Lopez Island	30	77	Washington	2,177
Grand Island	29	73	New York	18,621
Bainbridge Island	28	72	Washington	20,308
Gareloi Island	26	67	Alaska	0
Madeline Island	24	62	Wisconsin	246
Washington Island	24	61	Wisconsin	600
Manhattan	23	60	New York	1,537,195
San Nicolas Island	23	59	California	0
Marquette Island	23	59	Michigan	0
Woronkofski Island	23	59	Alaska	0
Grand Island	22	58	Michigan	45
North Manitou Island	22	58	Michigan	0
Neebish Island	22	56	Michigan	66
