Driver	Car #	Make	Points	Laps	Winnings
Jeff Gordon	24	Chevrolet	190	367	$323,286
Denny Hamlin	11	Chevrolet	180	367	$211,550
Jimmie Johnson	48	Chevrolet	170	367	$197,761
Ryan Newman	12	Dodge	165	367	$159,875
Carl Edwards	99	Ford	160	367	$125,475
Tony Stewart	20	Chevrolet	150	367	$145,961
Matt Kenseth	17	Ford	151	367	$143,516
Dale Earnhardt Jr.	8	Chevrolet	142	367	$133,033
Clint Bowyer	7	Chevrolet	143	367	$114,575
Jeff Burton	31	Chevrolet	134	367	$127,541
Martin Truex Jr.	1	Chevrolet	130	367	$112,320
Kurt Busch	2	Dodge	127	367	$119,108
Sterling Marlin	14	Chevrolet	124	367	$104,433
Mark Martin	1	Chevrolet	121	367	$108,308
Greg Biffle	16	Ford	118	367	$97,700
Jamie McMurray	26	Ford	115	367	$89,850
Kevin Harvick	29	Chevrolet	112	367	$125,886
J.J. Yeley	18	Chevrolet	109	367	$108,183
Bobby Labonte	43	Dodge	106	367	$117,036
Kasey Kahne	9	Dodge	103	367	$124,616
Elliott Sadler	19	Dodge	105	367	$96,370
Jeff Green	66	Chevrolet	97	365	$100,008
Juan Montoya *	42	Dodge	94	365	$113,575
Kenny Wallace	78	Chevrolet	91	365	$75,775
Kyle Petty	45	Dodge	88	364	$87,233
Ricky Rudd	88	Ford	85	364	$105,333
David Ragan *	6	Ford	82	363	$109,425
Joe Nemechek	13	Chevrolet	79	363	$69,950
Johnny Sauter	70	Chevrolet	76	361	$69,750
David Gilliland	38	Ford	73	361	$100,289
Paul Menard *	15	Chevrolet	70	358	$69,325
Dave Blaney	22	Toyota	72	355	$89,197
David Reutimann *	0	Toyota	64	351	$69,925
David Stremme	40	Dodge	61	349	$68,850
Casey Mears	25	Chevrolet	58	345	$76,600
A.J. Allmendinger *	84	Toyota	55	344	$68,450
Kyle Busch	5	Chevrolet	52	338	$86,250
Robby Gordon	7	Ford	49	317	$68,025
Tony Raines	96	Chevrolet	46	310	$78,400
Reed Sorenson	41	Dodge	43	310	$75,750
Ken Schrader	21	Ford	45	254	$87,839
Kevin Lepage	37	Dodge	37	127	$68,280
Brian Vickers	83	Toyota	34	122	$67,382
