Game #	Date	Visitor	Score	Home	Record	Points
53	February 1	Toronto	1 - 1	St. Louis	24-20-8	56
54	February 3	N.Y. Islanders	2 - 3	Toronto	24-21-8	56
55	February 9	Toronto	1 - 3	Tampa Bay	24-22-8	56
56	February 11	Vancouver	5 - 2	Toronto	25-22-8	58
57	February 13	Minnesota	6 - 1	Toronto	26-22-8	60
58	February 14	Toronto	6 - 5	Minnesota	27-22-8	62
59	February 17	Calgary	4 - 2	Toronto	28-22-8	64
60	February 19	Tampa Bay	4 - 1	Toronto	29-22-8	66
61	February 20	Boston	4 - 4	Toronto	29-22-9	67
62	February 22	Toronto	8 - 1	Vancouver	30-22-9	69
63	February 25	Toronto	5 - 0	San Jose	31-22-9	71
64	February 27	Toronto	5 - 2	Los Angeles	32-22-9	73
