Season	Player	Team	Position	Rating	Win #
1982–83	Charlie Huddy	Edmonton Oilers	D	+63	1
1983–84	Wayne Gretzky	Edmonton Oilers	C	+76	1
1984–85	Wayne Gretzky	Edmonton Oilers	C	+98	2
1985–86	Mark Howe	Philadelphia Flyers	D	+85	1
1986–87	Wayne Gretzky	Edmonton Oilers	C	+70	3
1987–88	Brad McCrimmon	Calgary Flames	D	+48	1
1988–89	Joe Mullen	Calgary Flames	F	+51	1
1989–90	Paul Cavallini	St. Louis Blues	D	+38	1
1990–91	Marty McSorley	Los Angeles Kings	D	+48	1
1990–91	Theoren Fleury	Calgary Flames	RW	+48	1
1991–92	Paul Ysebaert	Detroit Red Wings	LW	+44	1
1992–93	Mario Lemieux	Pittsburgh Penguins	C	+55	1
1993–94	Scott Stevens	New Jersey Devils	D	+53	1
1994–95	Ron Francis	Pittsburgh Penguins	C	+30	1
1995–96	Vladimir Konstantinov	Detroit Red Wings	D	+60	1
1996–97	John LeClair	Philadelphia Flyers	C	+44	1
1997–98	Chris Pronger	St. Louis Blues	D	+47	1
1998–99	John LeClair	Philadelphia Flyers	LW	+36	2
1999–2000	Chris Pronger	St. Louis Blues	D	+52	2
2000–01	Patrik Elias	New Jersey Devils	LW	+45	1
2000–01	Joe Sakic	Colorado Avalanche	C	+45	1
2001–02	Chris Chelios	Detroit Red Wings	D	+40	1
2002–03	Peter Forsberg	Colorado Avalanche	C	+52	1
2002–03	Milan Hejduk	Colorado Avalanche	RW	+52	1
2003–04	Martin St. Louis	Tampa Bay Lightning	RW	+35	1
2003–04	Marek Malik	Vancouver Canucks	D	+35	1
2004–05	2004–05 NHL lockout No winner	—	—	—	—
2005–06	Wade Redden	Ottawa Senators	D	+35	1
2005–06	Michal Rozsival	New York Rangers	D	+35	1
2006–07	Thomas Vanek	Buffalo Sabres	LW	+47	1
2007–08	Pavel Datsyuk	Detroit Red Wings	C	+41	1
2008–09	David Krejci	Boston Bruins	C	+37	1
2009–10	Jeff Schultz	Washington Capitals	D	+50	1
2010–11	Zdeno Chara	Boston Bruins	D	+33	1
2011–12	Patrice Bergeron	Boston Bruins	C	+36	1
2012–13	Pascal Dupuis	Pittsburgh Penguins	RW	+31	1
