Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	@ New Orleans	L 92–104 (OT)	Žydrūnas Ilgauskas (18)	Ben Wallace (8)	LeBron James (13)	New Orleans Arena 18,150	1–2
4	November 3	@ Dallas	W 100–81 (OT)	LeBron James (29)	Ben Wallace (13)	Maurice Williams (6)	American Airlines Center 19,923	2–2
5	November 5	Chicago	W 107–93 (OT)	LeBron James (41)	Ben Wallace (14)	LeBron James (6)	Quicken Loans Arena 20,562	3–2
6	November 7	Indiana	W 111–107 (OT)	LeBron James (27)	LeBron James (9)	LeBron James (8)	Quicken Loans Arena 20,562	4–2
7	November 8	@ Chicago	W 106–97 (OT)	LeBron James (41)	LeBron James (13)	Maurice Williams (7)	United Center 21,965	5–2
8	November 11	Milwaukee	W 99–93 (OT)	LeBron James (41)	Anderson Varejão , Žydrūnas Ilgauskas (10)	LeBron James (6)	Quicken Loans Arena 19,842	6–2
9	November 13	Denver	W 110–99 (OT)	Maurice Williams (24)	LeBron James , Anderson Varejão (8)	LeBron James (11)	Quicken Loans Arena 20,562	7–2
10	November 15	Utah	W 105–93 (OT)	LeBron James (38)	Ben Wallace (10)	LeBron James (7)	Quicken Loans Arena 20,562	8–2
11	November 18	@ New Jersey	W 106–82 (OT)	LeBron James (31)	Žydrūnas Ilgauskas (9)	Maurice Williams (6)	Izod Center 16,911	9–2
12	November 19	@ Detroit	L 89–96 (OT)	Maurice Williams , LeBron James (25)	Anderson Varejão (11)	LeBron James (6)	The Palace of Auburn Hills 22,076	9–3
13	November 22	Atlanta	W 110–96 (OT)	LeBron James (24)	Ben Wallace (8)	LeBron James (8)	Quicken Loans Arena 20,562	10–3
14	November 25	@ New York	W 119–101 (OT)	LeBron James (26)	Žydrūnas Ilgauskas (10)	Daniel Gibson (7)	Madison Square Garden 19,763	11–3
15	November 26	Oklahoma City	W 117–82 (OT)	Žydrūnas Ilgauskas (17)	Žydrūnas Ilgauskas , Anderson Varejão (7)	Delonte West (10)	Quicken Loans Arena 19,753	12–3
16	November 28	Golden State	W 112–97 (OT)	LeBron James (23)	Wally Szczerbiak , Ben Wallace (9)	LeBron James (8)	Quicken Loans Arena 20,562	13–3
17	November 29	@ Milwaukee	W 97–85 (OT)	LeBron James (32)	Žydrūnas Ilgauskas (17)	LeBron James , Delonte West (5)	Bradley Center 16,237	14–3
