Place	Player	Country	Score	To par	Money ( $ )
1	Tiger Woods	United States	71-63-69-69=272	–8	1,260,000
2	Woody Austin	United States	68-70-69-67=274	–6	756,000
3	Ernie Els	South Africa	72-68-69-66=275	–5	476,000
T4	Arron Oberholser	United States	68-72-70-69=279	–1	308,000
T4	John Senden	Australia	69-70-69-71=279	–1	308,000
T6	Simon Dyson	England	73-71-72-64=280	E	227,500
T6	Trevor Immelman	South Africa	75-70-66-69=280	E	227,500
T6	Geoff Ogilvy	Australia	69-68-74-69=280	E	227,500
T9	Kevin Sutherland	United States	73-69-68-71=281	+1	170,333
T9	Scott Verplank	United States	70-66-74-71=281	+1	170,333
T9	Boo Weekley	United States	76-69-65-71=281	+1	170,333
