Date	Tournament	Winning score	To par	Margin of victory
Sep 16, 1984	Greater Milwaukee Open	67-68-69-68=272	–16	5 strokes
Feb 3, 1985	Bing Crosby National Pro-Am	70-72-68-73=283	–5	1 stroke
Feb 10, 1985	Hawaiian Open	67-66-65-69=267	–21	1 stroke
Jan 29, 1989	AT&T Pebble Beach National Pro-Am	66-68-73-70=277	–11	1 stroke
Feb 4, 1990	AT&T Pebble Beach National Pro-Am	67-73-69-72=281	–7	2 strokes
Oct 7, 1990	H.E.B. Texas Open	64-68-66-63=261	–19	1 stroke
Oct 16, 1991	Walt Disney World/Oldsmobile Classic	66-66-71-64=267	–21	1 stroke
Feb 2, 1992	AT&T Pebble Beach National Pro-Am	69-68-68-70=275	–13	Playoff
Mar 12, 1995	Honda Classic	68-65-71-71=275	–9	1 stroke
Sep 10, 1995	Bell Canadian Open	72-67-68-67=274	–14	Playoff
Jan 7, 1996	Mercedes Championships	68-69-66-68=271	–17	3 strokes
Apr 28, 1996	Greater Greensboro Chrysler Classic	75-68-62-69=274	–14	2 strokes
Feb 2, 1997	AT&T Pebble Beach National Pro-Am	67-67-67-67=268	–20	1 stroke
Feb 9, 1997	Buick Invitational	67-66-71-71=275	–13	2 strokes
Apr 12, 1998	Masters Tournament	74-70-68-67=279	–9	1 stroke
Jul 19, 1998	The Open Championship	72-68-72-68=280	E	Playoff
