Week	Date	Opponent	Result	Attendance
1	September 19, 1971	at Atlanta Falcons	L 20-17	56,990
2	September 26, 1971	at New Orleans Saints	W 38-20	81,595
3	October 3, 1971	at Philadelphia Eagles	W 31-3	65,358
4	October 10, 1971	Los Angeles Rams	L 20-13	44,000
5	October 17, 1971	Chicago Bears	W 13-0	44,000
6	October 24, 1971	at St. Louis Cardinals	W 26-14	50,419
7	October 31, 1971	New England Patriots	W 27-10	45,092
8	November 7, 1971	at Minnesota Vikings	W 13-9	49,784
9	November 14, 1971	New Orleans Saints	L 26-20	45,138
10	November 21, 1971	at Los Angeles Rams	L 17-6	80,050
11	November 28, 1971	at New York Jets	W 24-21	63,936
12	December 6, 1971	Kansas City Chiefs	L 26-17	45,306
13	December 12, 1971	Atlanta Falcons	W 24-3	44,582
14	December 19, 1971	Detroit Lions	W 31-27	45,580
