Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner-up	14 August 2005	Wuxi , China	Hard	Casey Dellacqua	Mi-Ra Jeon Wynne Prakusya	2-6 6-7(6)
Runner-up	12 November 2006	Mount Gambier , Australia	Hard	Daniella Dominikovic	Natalie Grandin Christina Wheeler	4-6 6-4 4-6
Runner-up	20 April 2007	Bari , Italy	Clay	Katarina Kachlikova	Veronika Kapshay Mariya Koryttseva	5-7 2-6
Winner	19 June 2007	Noto , Japan	Carpet	Anne Yelsey	Natsumi Hamamura Maria Tanaka	7-6(8) 6-1
Runner-up	16 November 2007	Nuriootpa , Australia	Hard	Trudi Musgrave	Natalie Grandin Robin Stephenson	4-6 5-7
Runner-up	23 May 2007	Mount Gambier , Australia	Hard	Trudi Musgrave	Antonia Matic Monica Niculescu	7-5 3-6 [8-10]
Runner-up	16 May 2008	Caserta , Italy	Clay	Christina Wheeler	Xinyun Han Yi-Fan Xu	6-4 4-6 [8-10]
Winner	3 May 2009	Gifu , Japan	Carpet	Aiko Nakamura	Misaki Doi Kurumi Nara	6-2 6-1
Winner	6 June 2009	Brno , Czech Republic	Clay	Trudi Musgrave	Karin Morgosova Romana Caroline Tabak	6-4 6-1
Runner-up	5 March 2010	Sydney , Australia	Hard	Trudi Musgrave	Casey Dellacqua Jessica Moore	W/O
Winner	25 June 2010	Rome , Italy	Clay	Trudi Musgrave	Claudia Giovine Valentina Sulpizio	6-0 6-3
Winner	09-May-2011	Reggio Emilia , Italy	Clay	Sally Peers	Claudia Giovine Maria Irigoyen	6-4 6-1
Winner	30-May-2011	Rome - Tiro A Volo , Italy	Clay	Sally Peers	Magda Linette Liana Ungur	W/O
